english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example
cursory,Reviewers praised the cursory quality of the research published in the quarterly journal.,피상적인,평론가들은 분기별 저널에 게재된 연구의 피상적인 품질을 칭찬했다.,表面的な,レビュアーは季刊誌に掲載された研究の表面的な品質を称賛した。,草率的,评审人员赞扬了季刊上发表的研究的草率的品质。,"superficial, somero",Los revisores elogiaron la calidad superficial de la investigación publicada en la revista trimestral.
cynical,Partners described the working relationship as cynical yet ultimately productive in achieving goals.,냉소적인,파트너들은 업무 관계를 냉소적인 것이지만 궁극적으로 목표 달성에 생산적이라고 묘사했다.,皮肉な,パートナーは業務関係を皮肉なものだが最終的には目標達成に生産的だと述べた。,愤世嫉俗的,合作伙伴将工作关系描述为愤世嫉俗的但最终在实现目标方面富有成效。,"cínico, escéptico",Los socios describieron la relación de trabajo como cínica pero en última instancia productiva para alcanzar los objetivos.
dearth,The dearth throughout the supply chain caused significant delays in product delivery schedules.,부족,공급망 전반의 부족이(가) 제품 배송 일정에 상당한 지연을 초래했다.,欠乏,サプライチェーン全体にわたる欠乏が製品配送スケジュールに大幅な遅延を引き起こした。,缺乏,供应链中普遍存在的缺乏导致产品交付计划大幅延迟。,"escasez, carencia",La escasez a lo largo de la cadena de suministro causó retrasos significativos en los calendarios de entrega de productos.
debilitate,The new director plans to debilitate traditional methods in favor of innovation.,약화시키다,신임 이사는 혁신을 위해 전통적인 방법을 약화시키기로 계획이다.,衰弱させる,新任取締役はイノベーションのために従来の手法を衰弱させる計画を立てた。,使衰弱,新任董事计划使衰弱传统方法以支持创新。,"debilitar, agotar",El nuevo director planea debilitar los métodos tradicionales en favor de la innovación.
decimate,Senior management decided to decimate all pending proposals after careful deliberation.,대량 파괴하다,고위 경영진은 신중한 검토 후 모든 보류 중인 제안을 대량 파괴하기로 결정했다.,大量に破壊する,上級経営陣は慎重な審議の後、保留中の提案をすべて大量に破壊することを決定した。,大量毁灭,高级管理层经过慎重考虑后决定大量毁灭所有待审提案。,"diezmar, destruir en gran número",La alta dirección decidió diezmar todas las propuestas pendientes tras una cuidadosa deliberación.
decry,The CEO promised to decry inefficient processes during the quarterly review.,비난하다,CEO는 분기별 검토에서 비효율적인 프로세스를 비난하기로 약속했다.,非難する,CEOは四半期レビューで非効率なプロセスを非難することを約束した。,谴责,CEO承诺在季度审查中谴责低效流程。,"denunciar, condenar",El CEO prometió denunciar los procesos ineficientes durante la revisión trimestral.
defamation,The defamation of the executive's remarks during the press conference was widely noted.,명예훼손,기자회견에서 경영진 발언의 명예훼손은(는) 널리 주목을 받았다.,名誉毀損,記者会見での経営幹部の発言における名誉毀損は広く注目された。,诽谤,高管在新闻发布会上发言中的诽谤受到了广泛关注。,"difamación, calumnia",La difamación de los comentarios del ejecutivo durante la rueda de prensa fue ampliamente señalada.
deference,Addressing the deference in corporate governance became the top priority for the new board.,경의,기업 지배구조의 경의을(를) 해결하는 것이 새 이사회의 최우선 과제가 되었다.,敬意,コーポレートガバナンスにおける敬意への対処が新取締役会の最優先課題となった。,敬意,解决公司治理中的敬意成为新董事会的首要任务。,"deferencia, respeto",Abordar la deferencia en el gobierno corporativo se convirtió en la máxima prioridad de la nueva junta directiva.
deft,The deft uncovered during the audit raised questions about internal control effectiveness.,솜씨 좋은,감사 과정에서 발견된 솜씨 좋은이(가) 내부 통제 효과성에 대한 의문을 제기했다.,器用な,監査中に発覚した器用なが内部統制の有効性に疑問を投げかけた。,灵巧的,审计中发现的灵巧的引发了对内部控制有效性的质疑。,"hábil, diestro",La habilidad descubierta durante la auditoría planteó interrogantes sobre la eficacia del control interno.
deleterious,His deleterious commentary on corporate governance was published in a leading business journal.,해로운,기업 지배구조에 대한 그의 해로운 논평이 유수의 비즈니스 저널에 게재되었다.,有害な,コーポレートガバナンスに関する彼の有害な論評が一流のビジネスジャーナルに掲載された。,有害的,他关于公司治理的有害的评论发表在领先的商业期刊上。,"deletéreo, dañino",Su deletéreo comentario sobre el gobierno corporativo fue publicado en una importante revista de negocios.
deluge,The sheer deluge of the situation demanded immediate intervention from executive leadership.,대홍수,상황의 명백한 대홍수은(는) 경영진의 즉각적인 개입을 요구했다.,大洪水,状況の明らかな大洪水は上級経営陣からの即座の介入を求めた。,洪水,形势中明显的洪水要求高级管理层立即介入。,"diluvio, avalancha",La magnitud del diluvio de la situación exigió la intervención inmediata del liderazgo ejecutivo.
demeanor,The company's demeanor was widely discussed at the international business strategy conference.,태도,회사의 태도은(는) 국제 비즈니스 전략 회의에서 널리 논의되었다.,態度,企業の態度は国際ビジネス戦略会議で広く議論された。,举止,该公司的举止在国际商业战略会议上被广泛讨论。,"comportamiento, conducta",La conducta de la empresa fue ampliamente debatida en la conferencia internacional de estrategia empresarial.
demise,Trade publications highlighted the demise as a defining characteristic of this economic cycle.,사망,무역 간행물들은 사망을(를) 이번 경제 주기의 특징적인 요소로 강조했다.,死亡,業界誌はこの景気サイクルの特徴として死亡を強調した。,死亡,贸易刊物强调死亡是本经济周期的决定性特征。,"desaparición, fin",Las publicaciones especializadas destacaron la desaparición como una característica definitoria de este ciclo económico.
denigrate,Analysts recommended that the firm denigrate its conservative stance on expansion.,비방하다,분석가들은 회사가 확장에 대한 보수적 입장을 비방하도록 권고했다.,中傷する,アナリストは同社が拡大に対する保守的な姿勢を中傷するよう勧告した。,诋毁,分析师建议公司诋毁其在扩张方面的保守立场。,"denigrar, desprestigiar",Los analistas recomendaron que la empresa denigre su postura conservadora en materia de expansión.
depravity,The depravity within the organization reflected deeper issues in its corporate culture.,타락,조직 내의 타락은(는) 기업 문화의 더 깊은 문제를 반영했다.,堕落,組織内の堕落はその企業文化のより深い問題を反映していた。,堕落,组织内部的堕落反映了企业文化中更深层的问题。,"depravación, corrupción moral",La depravación dentro de la organización reflejó problemas más profundos en su cultura corporativa.
derelict,The derelict described in the whistleblower complaint prompted a full-scale internal investigation.,유기된,내부 고발자 불만에 기술된 유기된이(가) 전면적인 내부 조사를 촉발했다.,放棄された,内部告発者の苦情に記載された放棄されたが全面的な社内調査を促した。,废弃的,举报投诉中描述的废弃的引发了全面的内部调查。,"abandonado, descuidado",Lo abandonado descrito en la denuncia del denunciante desencadenó una investigación interna a gran escala.
derisive,Senior directors viewed the derisive proposal with cautious optimism during the board meeting.,조롱하는,고위 이사들은 이사회 회의에서 조롱하는 제안을 신중한 낙관주의로 바라보았다.,嘲笑的な,シニアディレクターは取締役会で嘲笑的な提案を慎重な楽観主義で見ていた。,嘲笑的,高级董事在董事会议上以谨慎乐观的态度看待嘲笑的提案。,"burlesco, irrisorio",Los directores senior consideraron la propuesta irrisoria con cauto optimismo durante la reunión de la junta.
despondent,His despondent demeanor during presentations made complex financial data accessible to everyone.,낙담한,프레젠테이션에서의 그의 낙담한 태도는 복잡한 재무 데이터를 모두에게 이해하기 쉽게 만들었다.,落胆した,プレゼンテーションでの彼の落胆した態度は複雑な財務データを誰にでも理解しやすくした。,沮丧的,他在演示中沮丧的态度使复杂的财务数据变得通俗易懂。,"abatido, desalentado",Su actitud abatida durante las presentaciones hizo que los datos financieros complejos fueran accesibles para todos.
destitute,The persistent destitute in departmental communication led to costly errors in project execution.,극빈의,부서 간 소통의 지속적인 극빈의이(가) 프로젝트 실행에서 비용이 많이 드는 오류로 이어졌다.,極貧の,部門間コミュニケーションにおける持続的な極貧のがプロジェクト遂行上の高コストなミスにつながった。,赤贫的,部门间沟通中持续存在的赤贫的导致了项目执行中代价高昂的错误。,"indigente, empobrecido",La persistente indigencia en la comunicación departamental derivó en costosos errores en la ejecución del proyecto.
diatribe,International observers attributed the trade imbalance to the diatribe of outdated regulatory policies.,통렬한 비판,국제 관측자들은 무역 불균형을 구시대적 규제 정책의 통렬한 비판에 기인한다고 보았다.,痛烈な批判,国際的な観察者は貿易不均衡を時代遅れの規制政策の痛烈な批判に帰した。,抨击,国际观察人士将贸易失衡归因于过时监管政策所带来的抨击。,"diatriba, crítica acerba",Los observadores internacionales atribuyeron el desequilibrio comercial a la diatriba de las políticas regulatorias obsoletas.
dichotomy,The unprecedented dichotomy forced the risk management team to revise all contingency plans.,이분법,전례 없는 이분법으로 인해 리스크 관리 팀은 모든 비상 계획을 수정하도록 했다.,二分法,前例のない二分法によりリスク管理チームはすべての緊急時対応計画を見直すことを迫られた。,二分法,前所未有的二分法迫使风险管理团队修订所有应急预案。,"dicotomía, división en dos",La dicotomía sin precedentes obligó al equipo de gestión de riesgos a revisar todos los planes de contingencia.
didactic,The didactic nature of the proposal raised concerns among the board of directors.,교훈적인,제안서의 교훈적인 특성이 이사회 사이에서 우려를 불러일으켰다.,教訓的な,提案の教訓的な性質が取締役会の間で懸念を引き起こした。,说教的,提案说教的性质引起了董事会成员的担忧。,"didáctico, instructivo",La naturaleza didáctica de la propuesta generó preocupaciones entre los miembros de la junta directiva.
diffident,The diffident recommendations in the consultant's report were implemented ahead of the deadline.,자신 없는,컨설턴트 보고서의 자신 없는 권고 사항이 마감 전에 시행되었다.,自信のない,コンサルタントの報告書の自信のない勧告は期限前に実施された。,缺乏自信的,顾问报告中缺乏自信的建议在截止日期前得到了落实。,"tímido, apocado",Las tímidas recomendaciones del informe del consultor fueron implementadas antes del plazo.
dilapidated,The dilapidated impact of the policy change was felt across all regional offices.,황폐한,정책 변경의 황폐한 영향이 모든 지역 사무소에서 느껴졌다.,荒廃した,政策変更の荒廃した影響はすべての地域オフィスで感じられた。,破旧的,政策变化的破旧的影响在所有区域办事处都有所感受。,"dilapidado, deteriorado",El dilapidado impacto del cambio de política se sintió en todas las oficinas regionales.
diminutive,Reviewers praised the diminutive quality of the research published in the quarterly journal.,아주 작은,평론가들은 분기별 저널에 게재된 연구의 아주 작은 품질을 칭찬했다.,非常に小さい,レビュアーは季刊誌に掲載された研究の非常に小さい品質を称賛した。,微小的,评审人员赞扬了季刊上发表的研究的微小的品质。,"diminuto, muy pequeño",Los revisores elogiaron la calidad diminuta de la investigación publicada en la revista trimestral.
disaffect,External auditors were brought in to disaffect the accuracy of quarterly revenue reports.,불만을 품게 하다,외부 감사인은 분기별 수익 보고서의 정확성을 불만을 품게 하도록 투입되었다.,不満を抱かせる,外部監査人は四半期収益報告書の正確性を不満を抱かせるために招聘された。,使不满,外部审计师被引入以使不满季度收入报告的准确性。,"desafectar, provocar descontento",Se contrataron auditores externos para desafectar la precisión de los informes trimestrales de ingresos.
disarray,The unprecedented disarray forced the risk management team to revise all contingency plans.,혼란,전례 없는 혼란으로 인해 리스크 관리 팀은 모든 비상 계획을 수정하도록 했다.,混乱,前例のない混乱によりリスク管理チームはすべての緊急時対応計画を見直すことを迫られた。,混乱,前所未有的混乱迫使风险管理团队修订所有应急预案。,"desorden, confusión",El desorden sin precedentes obligó al equipo de gestión de riesgos a revisar todos los planes de contingencia.
discrepant,The discrepant debate between executives delayed the approval of the capital expenditure budget.,불일치하는,임원 간의 불일치하는 논쟁이 자본 지출 예산 승인을 지연시켰다.,矛盾する,幹部間の矛盾するな議論が資本支出予算の承認を遅らせた。,不一致的,高管之间不一致的争论推迟了资本支出预算的审批。,"discrepante, contradictorio",El discrepante debate entre los ejecutivos retrasó la aprobación del presupuesto de gastos de capital.
disdain,Economists pointed to the disdain as evidence of a fundamental shift in consumer behavior.,경멸,경제학자들은 소비자 행동의 근본적인 변화의 증거로 경멸을(를) 지적했다.,軽蔑,エコノミストは消費者行動の根本的な変化の証拠として軽蔑を指摘した。,蔑视,经济学家指出蔑视是消费者行为发生根本性转变的证据。,"desdén, menosprecio",Los economistas señalaron el desdén como evidencia de un cambio fundamental en el comportamiento del consumidor.
disinterested,Stakeholders demanded a disinterested explanation for the unexpected decline in profit margins.,공정한,이해관계자들은 이익 마진의 예상치 못한 하락에 대한 공정한 설명을 요구했다.,公正な,ステークホルダーは利益率の予期せぬ低下に対する公正な説明を求めた。,公正的,利益相关者要求对利润率意外下降做出公正的解释。,"imparcial, desinteresado",Las partes interesadas exigieron una explicación imparcial del inesperado descenso en los márgenes de beneficio.
dismantle,The compliance officer made it a priority to dismantle violations before the deadline.,해체하다,준수 담당자는 기한 전에 위반 사항을 해체하는 것을 최우선으로 삼았다.,解体する,コンプライアンス担当者は期限前に違反を解体することを最優先にした。,拆除,合规官将在截止日期前拆除违规行为列为首要任务。,"desmantelar, desarticular",El oficial de cumplimiento hizo una prioridad desmantelar las infracciones antes del plazo.
disparagement,The sheer disparagement of the situation demanded immediate intervention from executive leadership.,비하,상황의 명백한 비하은(는) 경영진의 즉각적인 개입을 요구했다.,軽視,状況の明らかな軽視は上級経営陣からの即座の介入を求めた。,贬低,形势中明显的贬低要求高级管理层立即介入。,"descrédito, menoscabo",La magnitud del descrédito de la situación exigió la intervención inmediata del liderazgo ejecutivo.
dispassionate,Partners described the working relationship as dispassionate yet ultimately productive in achieving goals.,냉정한,파트너들은 업무 관계를 냉정한 것이지만 궁극적으로 목표 달성에 생산적이라고 묘사했다.,冷静な,パートナーは業務関係を冷静なものだが最終的には目標達成に生産的だと述べた。,冷静的,合作伙伴将工作关系描述为冷静的但最终在实现目标方面富有成效。,"desapasionado, objetivo",Los socios describieron la relación de trabajo como desapasionada pero en última instancia productiva para alcanzar los objetivos.
dissent,The dissent that emerged from the merger negotiations surprised all industry observers.,반대,합병 협상에서 나타난 반대이(가) 모든 업계 관측자들을 놀라게 했다.,異議,合併交渉から生じた異議がすべての業界観測者を驚かせた。,异议,并购谈判中出现的异议令所有行业观察者感到意外。,"disidencia, desacuerdo",La disidencia que surgió de las negociaciones de fusión sorprendió a todos los observadores del sector.
dissolution,The dissolution described in the whistleblower complaint prompted a full-scale internal investigation.,해산,내부 고발자 불만에 기술된 해산이(가) 전면적인 내부 조사를 촉발했다.,解散,内部告発者の苦情に記載された解散が全面的な社内調査を促した。,解散,举报投诉中描述的解散引发了全面的内部调查。,"disolución, liquidación",La disolución descrita en la denuncia del denunciante desencadenó una investigación interna a gran escala.
distill,Corporate governance standards require all officers to distill conflicts of interest promptly.,증류하다,기업 지배구조 기준은 모든 임원이 이해 충돌을 신속히 증류하도록 요구한다.,蒸留する,コーポレートガバナンス基準はすべての役員に利益相反を速やかに蒸留するよう求めている。,蒸馏,公司治理标准要求所有高管及时蒸馏利益冲突。,"destilar, extraer la esencia",Las normas de gobierno corporativo exigen que todos los directivos destilen los conflictos de interés con prontitud.
docile,The docile behavior exhibited during the merger talks jeopardized the entire transaction.,유순한,합병 협상 중 보여진 유순한 행태가 전체 거래를 위태롭게 했다.,従順な,合併交渉中に見られた従順な行動がトランザクション全体を危険にさらした。,温顺的,并购谈判中表现出的温顺的行为危及了整个交易。,"dócil, manejable",El dócil comportamiento exhibido durante las conversaciones de fusión puso en peligro toda la transacción.
dogmatic,The consultant delivered a dogmatic analysis that reshaped the marketing plan.,독단적인,컨설턴트는 마케팅 계획을 재편하는 독단적인 분석을 전달했다.,独断的な,コンサルタントはマーケティング計画を一新する独断的な分析を提供した。,教条的,顾问提交了一份重新塑造营销计划的教条的分析报告。,"dogmático, intransigente",El consultor presentó un análisis dogmático que reformuló el plan de marketing.
doldrums,The doldrums between marketing and engineering departments hindered the product development timeline.,침체기,마케팅과 엔지니어링 부서 간의 침체기이(가) 제품 개발 일정을 지연시켰다.,低迷期,マーケティングとエンジニアリング部門間の低迷期が製品開発スケジュールを遅延させた。,低迷期,营销和工程部门之间的低迷期阻碍了产品开发进度。,"estancamiento, marasmo",El estancamiento entre los departamentos de marketing e ingeniería obstaculizó el cronograma de desarrollo de productos.
dormant,The dormant findings of the internal investigation were presented to the ethics committee.,휴면의,내부 조사의 휴면의 결과가 윤리위원회에 보고되었다.,休眠の,内部調査の休眠の結果が倫理委員会に提示された。,休眠的,内部调查的休眠的结果被提交给了道德委员会。,"latente, inactivo",Los latentes hallazgos de la investigación interna fueron presentados ante el comité de ética.
draconian,His draconian management of the crisis prevented what could have been a catastrophic failure.,가혹한,그의 가혹한 위기 관리가 재앙적 실패가 될 수 있었던 것을 막았다.,厳格な,彼の厳格な危機管理が壊滅的な失敗になりかねなかった事態を防いだ。,严酷的,他对危机的严酷的管理防止了可能发生的灾难性失败。,"draconiano, muy severo",Su dracónica gestión de la crisis evitó lo que podría haber sido un fracaso catastrófico.
duplicity,Addressing the duplicity head-on demonstrated the leadership's commitment to transparency and accountability.,이중성,이중성에 정면으로 대응한 것은 경영진의 투명성과 책임에 대한 의지를 보여주었다.,二枚舌,二枚舌に正面から取り組んだことは、リーダーシップの透明性と説明責任へのコミットメントを示した。,两面派,正面应对两面派展现了领导层对透明度和问责制的承诺。,"duplicidad, doble moral",Abordar la duplicidad de frente demostró el compromiso del liderazgo con la transparencia y la responsabilidad.
duress,Addressing the duress in corporate governance became the top priority for the new board.,강압,기업 지배구조의 강압을(를) 해결하는 것이 새 이사회의 최우선 과제가 되었다.,強迫,コーポレートガバナンスにおける強迫への対処が新取締役会の最優先課題となった。,胁迫,解决公司治理中的胁迫成为新董事会的首要任务。,"coacción, presión",Abordar la coacción en el gobierno corporativo se convirtió en la máxima prioridad de la nueva junta directiva.
ebullient,An ebullient evaluation framework was developed to measure long-term organizational performance metrics.,열광적인,장기적인 조직 성과 지표를 측정하기 위한 열광적인 평가 체계가 개발되었다.,熱狂的な,長期的な組織パフォーマンス指標を測定するための熱狂的な評価フレームワークが開発された。,热情洋溢的,开发了热情洋溢的评估框架以衡量长期组织绩效指标。,"efusivo, entusiasta",Se desarrolló un marco de evaluación efusivo para medir las métricas de desempeño organizacional a largo plazo.
eclectic,The eclectic feedback from clients prompted an immediate overhaul of customer service protocols.,절충적인,고객의 절충적인 피드백이 고객 서비스 프로토콜의 즉각적인 개편을 촉발했다.,折衷的な,顧客からの折衷的なフィードバックが顧客サービスプロトコルの即時改革を促した。,折衷的,客户折衷的反馈促使企业立即全面改革客户服务流程。,"ecléctico, variado",La retroalimentación ecléctica de los clientes impulsó una revisión inmediata de los protocolos de servicio al cliente.
edify,Training programs were redesigned to edify skill gaps identified in the workforce assessment.,교화하다,교육 프로그램은 인력 평가에서 확인된 기술 격차를 교화하도록 재설계되었다.,啓発する,研修プログラムは人材評価で特定されたスキルギャップを啓発するために再設計された。,启迪,培训计划被重新设计以启迪劳动力评估中发现的技能差距。,"edificar, instruir moralmente",Los programas de capacitación fueron rediseñados para edificar las brechas de habilidades identificadas en la evaluación de la fuerza laboral.
efface,It became necessary to efface the partnership agreement due to irreconcilable differences.,지우다,화해할 수 없는 차이로 인해 파트너십 계약을 지우는 것이 필요해졌다.,消し去る,和解不能な相違により、パートナーシップ契約を消し去る必要が生じた。,抹去,由于不可调和的分歧，有必要抹去合作协议。,"borrar, hacer desaparecer",Resultó necesario borrar el acuerdo de asociación debido a diferencias irreconciliables.
effervescent,Venture capitalists cited the effervescent as a key factor in their investment decision.,활기찬,벤처 투자가들은 활기찬을(를) 투자 결정의 핵심 요인으로 꼽았다.,活気のある,ベンチャーキャピタリストは活気のあるを投資判断の重要な要因として挙げた。,活泼的,风险投资家将活泼的列为其投资决策的关键因素。,"efervescente, vivaz",Los capitalistas de riesgo citaron lo efervescente como un factor clave en su decisión de inversión.
efficacy,Addressing the efficacy in corporate governance became the top priority for the new board.,효능,기업 지배구조의 효능을(를) 해결하는 것이 새 이사회의 최우선 과제가 되었다.,効能,コーポレートガバナンスにおける効能への対処が新取締役会の最優先課題となった。,功效,解决公司治理中的功效成为新董事会的首要任务。,"eficacia, efectividad",Abordar la eficacia en el gobierno corporativo se convirtió en la máxima prioridad de la nueva junta directiva.
effrontery,Addressing the effrontery head-on demonstrated the leadership's commitment to transparency and accountability.,뻔뻔스러움,뻔뻔스러움에 정면으로 대응한 것은 경영진의 투명성과 책임에 대한 의지를 보여주었다.,厚かましさ,厚かましさに正面から取り組んだことは、リーダーシップの透明性と説明責任へのコミットメントを示した。,厚颜无耻,正面应对厚颜无耻展现了领导层对透明度和问责制的承诺。,"descaro, insolencia",Abordar el descaro de frente demostró el compromiso del liderazgo con la transparencia y la responsabilidad.
egalitarian,The egalitarian uncovered during the audit raised questions about internal control effectiveness.,평등주의의,감사 과정에서 발견된 평등주의의이(가) 내부 통제 효과성에 대한 의문을 제기했다.,平等主義の,監査中に発覚した平等主義のが内部統制の有効性に疑問を投げかけた。,平等主义的,审计中发现的平等主义的引发了对内部控制有效性的质疑。,"igualitario, equitativo",Lo igualitario descubierto durante la auditoría planteó interrogantes sobre la eficacia del control interno.
egregious,The consultant delivered an egregious analysis that reshaped the marketing plan.,지독한,컨설턴트는 마케팅 계획을 재편하는 지독한 분석을 전달했다.,言語道断な,コンサルタントはマーケティング計画を一新する言語道断な分析を提供した。,极其恶劣的,顾问提交了一份重新塑造营销计划的极其恶劣的分析报告。,"atroz, escandaloso",El consultor presentó un análisis atroz que reformuló el plan de marketing.
elation,The elation uncovered during the audit raised questions about internal control effectiveness.,득의양양,감사 과정에서 발견된 득의양양이(가) 내부 통제 효과성에 대한 의문을 제기했다.,有頂天,監査中に発覚した有頂天が内部統制の有効性に疑問を投げかけた。,兴高采烈,审计中发现的兴高采烈引发了对内部控制有效性的质疑。,"euforia, júbilo",La euforia descubierta durante la auditoría planteó interrogantes sobre la eficacia del control interno.
eloquent,The auditor found an eloquent pattern in the expense reports from last quarter.,웅변의,감사관은 지난 분기 경비 보고서에서 웅변의 패턴을 발견했다.,雄弁な,監査人は前四半期の経費報告書で雄弁なパターンを発見した。,雄辩的,审计员在上季度费用报告中发现了雄辩的模式。,"elocuente, expresivo",El auditor encontró un patrón elocuente en los informes de gastos del trimestre pasado.
emaciated,The emaciated conditions in the labor market prompted a reassessment of hiring practices.,수척한,노동 시장의 수척한 상황이 채용 관행의 재평가를 촉발했다.,やせ衰えた,労働市場のやせ衰えたな状況が採用慣行の再評価を促した。,憔悴的,劳动力市场憔悴的状况促使企业重新评估招聘惯例。,"demacrado, consumido",Las condiciones demacradas del mercado laboral impulsaron una reevaluación de las prácticas de contratación.
embellish,Industry regulators moved to embellish the existing framework to improve transparency.,장식하다,업계 규제 기관은 투명성 향상을 위해 기존 체계를 장식하기로 했다.,装飾する,業界の規制当局は透明性向上のため、既存の枠組みを装飾することにした。,修饰,行业监管机构为提高透明度而着手修饰现有框架。,"embellecer, adornar",Los reguladores del sector se dispusieron a embellecer el marco existente para mejorar la transparencia.
embroil,The operations team scrambled to embroil bottlenecks before the product launch deadline.,말려들게 하다,운영 팀은 제품 출시 마감 전에 병목 현상을 말려들게 하도록 서둘렀다.,巻き込む,運営チームは製品発売期限前にボトルネックを巻き込むために奔走した。,使卷入,运营团队在产品发布截止日期前赶紧使卷入瓶颈问题。,"involucrar, enredar",El equipo de operaciones se apresuró a resolver los cuellos de botella antes de la fecha límite de lanzamiento del producto.
emissary,International observers attributed the trade imbalance to the emissary of outdated regulatory policies.,사절,국제 관측자들은 무역 불균형을 구시대적 규제 정책의 사절에 기인한다고 보았다.,使者,国際的な観察者は貿易不均衡を時代遅れの規制政策の使者に帰した。,使者,国际观察人士将贸易失衡归因于过时监管政策所带来的使者。,"emisario, representante",Los observadores internacionales atribuyeron el desequilibrio comercial al emisario de las políticas regulatorias obsoletas.
emphatic,Reviewers praised the emphatic quality of the research published in the quarterly journal.,강조하는,평론가들은 분기별 저널에 게재된 연구의 강조하는 품질을 칭찬했다.,断固たる,レビュアーは季刊誌に掲載された研究の断固たるな品質を称賛した。,强调的,评审人员赞扬了季刊上发表的研究的强调的品质。,"enfático, categórico",Los revisores elogiaron la calidad enfática de la investigación publicada en la revista trimestral.
empirical,The empirical regulations governing international trade posed challenges for small export businesses.,경험적인,국제 무역을 규율하는 경험적인 규정이 소규모 수출 기업에 어려움을 초래했다.,経験的な,国際貿易を規制する経験的な規制が小規模輸出企業に課題を突きつけた。,经验的,规范国际贸易的经验的法规给小型出口企业带来了挑战。,"empírico, basado en evidencia",Las regulaciones empíricas que rigen el comercio internacional plantearon desafíos para las pequeñas empresas exportadoras.
emulate,The consulting firm was hired to emulate operational inefficiencies across all divisions.,모방하다,컨설팅 회사는 모든 부서의 운영 비효율을 모방하도록 고용되었다.,模倣する,コンサルティング会社は全部門の運営非効率を模倣するために雇われた。,效仿,咨询公司受聘效仿所有部门的运营低效问题。,"emular, imitar",La firma consultora fue contratada para emular las ineficiencias operativas en todas las divisiones.
enclave,Documenting the enclave accurately was critical for the upcoming external audit process.,거류지,거류지을(를) 정확하게 문서화하는 것은 다가오는 외부 감사 과정에 매우 중요했다.,飛び地,飛び地を正確に文書化することは今後の外部監査プロセスにとって極めて重要だった。,飞地,准确记录飞地对即将进行的外部审计过程至关重要。,"enclave, territorio delimitado",Documentar el enclave con precisión fue crucial para el próximo proceso de auditoría externa.
encumber,The committee urged stakeholders to encumber the controversial measure without delay.,방해하다,위원회는 이해관계자들에게 논쟁적인 조치를 지체 없이 방해하도록 촉구했다.,妨げる,委員会は利害関係者に対し、争議のある措置を遅滞なく妨げるよう促した。,妨碍,委员会敦促利益相关者毫不拖延地妨碍有争议的措施。,"gravar, obstaculizar",El comité instó a las partes interesadas a gravar sin demora la medida controvertida.
endemic,An endemic outlook on economic recovery shaped the investment committee's portfolio allocation decisions.,풍토적인,경제 회복에 대한 풍토적인 전망이 투자 위원회의 포트폴리오 배분 결정을 형성했다.,風土的な,景気回復に対する風土的な見通しが投資委員会のポートフォリオ配分決定を形作った。,地方性的,对经济复苏地方性的展望影响了投资委员会的投资组合配置决策。,"endémico, propio de una región",Una perspectiva endémica sobre la recuperación económica moldeó las decisiones de asignación de cartera del comité de inversiones.
enervate,The board voted to enervate the outdated policy before the fiscal year ends.,기력을 빼다,이사회는 회계연도가 끝나기 전에 구시대적 정책을 기력을 빼기로 결의했다.,気力を奪う,取締役会は会計年度末までに時代遅れの方針を気力を奪うことを決議した。,使衰弱,董事会投票决定在财年结束前使衰弱过时的政策。,"debilitar, agotar las fuerzas",La junta directiva votó para debilitar la política obsoleta antes del fin del ejercicio fiscal.
engross,Investors pressured the board to engross the acquisition deal that lacked strategic value.,몰두시키다,투자자들은 이사회에 전략적 가치가 부족한 인수 거래를 몰두시키도록 압력을 가했다.,没頭させる,投資家は戦略的価値に欠ける買収案件を没頭させるよう取締役会に圧力をかけた。,使全神贯注,投资者向董事会施压要求使全神贯注缺乏战略价值的收购交易。,"absorber, cautivar la atención",Los inversores presionaron a la junta directiva para que absorbiera el acuerdo de adquisición que carecía de valor estratégico.
enigma,The board acknowledged the enigma but disagreed on the appropriate course of corrective action.,수수께끼,이사회는 수수께끼을(를) 인정하면서도 적절한 시정 조치에 대해서는 의견이 일치하지 않았다.,謎,取締役会は謎を認めたが、適切な是正措置については意見が分かれた。,谜,董事会承认了谜但对适当的纠正措施存在分歧。,"enigma, misterio","La junta directiva reconoció el enigma, pero no estuvo de acuerdo sobre el curso correcto de acción."
enmity,The unprecedented enmity forced the risk management team to revise all contingency plans.,적의,전례 없는 적의으로 인해 리스크 관리 팀은 모든 비상 계획을 수정하도록 했다.,敵意,前例のない敵意によりリスク管理チームはすべての緊急時対応計画を見直すことを迫られた。,敌意,前所未有的敌意迫使风险管理团队修订所有应急预案。,"enemistad, hostilidad",La enemistad sin precedentes obligó al equipo de gestión de riesgos a revisar todos los planes de contingencia.
ennui,The ennui within the organization reflected deeper issues in its corporate culture.,권태,조직 내의 권태은(는) 기업 문화의 더 깊은 문제를 반영했다.,倦怠,組織内の倦怠はその企業文化のより深い問題を反映していた。,厌倦,组织内部的厌倦反映了企业文化中更深层的问题。,"hastío, tedio",El hastío dentro de la organización reflejó problemas más profundos en su cultura corporativa.
