regression,The regression analysis revealed a strong linear relationship between income and education level.,회귀,회귀 분석 결과 소득과 교육 수준 사이에 강한 선형 관계가 나타났다.,回帰,回帰分析により、所得と教育水準の間に強い線形関係があることが明らかになった。,回归,回归分析揭示了收入与教育水平之间存在强烈的线性关系。,regresión,El análisis de regresión reveló una fuerte relación lineal entre el ingreso y el nivel educativo.,hồi quy,Phân tích hồi quy cho thấy mối quan hệ tuyến tính mạnh giữa thu nhập và trình độ học vấn.,การถดถอย,การวิเคราะห์การถดถอยเผยให้เห็นความสัมพันธ์เชิงเส้นที่แข็งแกร่งระหว่างรายได้กับระดับการศึกษา,regresi,Analisis regresi mengungkapkan hubungan linier yang kuat antara pendapatan dan tingkat pendidikan.
luminosity,The luminosity of a star is directly correlated with its mass and surface temperature.,광도,별의 광도는 질량과 표면 온도와 직접적으로 관련이 있다.,光度,恒星の光度はその質量と表面温度に直接関連している。,光度,恒星的光度与其质量和表面温度直接相关。,luminosidad,La luminosidad de una estrella está directamente correlacionada con su masa y temperatura superficial.,độ sáng,Độ sáng của một ngôi sao có liên quan trực tiếp đến khối lượng và nhiệt độ bề mặt của nó.,ความส่องสว่าง,ความส่องสว่างของดาวฤกษ์มีความสัมพันธ์โดยตรงกับมวลและอุณหภูมิพื้นผิว,luminositas,Luminositas sebuah bintang berkorelasi langsung dengan massa dan suhu permukaannya.
apogee,At its apogee the satellite reached its maximum distance from the Earth's surface.,원지점,인공위성은 원지점에서 지구 표면으로부터 최대 거리에 도달했다.,遠地点,衛星はその遠地点で地球の表面からの最大距離に達した。,远地点,在远地点卫星达到了离地球表面的最远距离。,apogeo,En su apogeo el satélite alcanzó su distancia máxima de la superficie terrestre.,viễn điểm,Tại viễn điểm vệ tinh đạt khoảng cách tối đa so với bề mặt Trái Đất.,จุดไกลสุด,ที่จุดไกลสุดดาวเทียมอยู่ห่างจากพื้นผิวโลกมากที่สุด,apogee,Pada titik apogee satelit mencapai jarak maksimumnya dari permukaan Bumi.
perihelion,Mercury reaches perihelion every 88 days when it is closest to the Sun.,근일점,수성은 88일마다 태양에 가장 가까워지는 근일점에 도달한다.,近日点,水星は88日ごとに太陽に最も近い近日点に達する。,近日点,水星每88天到达近日点即距太阳最近的位置。,perihelio,Mercurio alcanza el perihelio cada 88 días cuando está más cerca del Sol.,cận nhật điểm,Sao Thủy đạt cận nhật điểm mỗi 88 ngày khi nó ở gần Mặt Trời nhất.,จุดใกล้ดวงอาทิตย์ที่สุด,ดาวพุธถึงจุดใกล้ดวงอาทิตย์ที่สุดทุก 88 วันเมื่อมันอยู่ใกล้ดวงอาทิตย์มากที่สุด,perihelion,Merkurius mencapai perihelion setiap 88 hari saat berada paling dekat dengan Matahari.
spectroscopy,Spectroscopy allows astronomers to determine the chemical composition of distant stars by analysing their emitted light.,분광학,분광학은 천문학자들이 먼 별에서 방출된 빛을 분석하여 화학적 조성을 결정할 수 있게 해준다.,分光学,分光学により天文学者は遠い星が放出する光を分析してその化学組成を決定できる。,光谱学,光谱学使天文学家能够通过分析遥远恒星发出的光来确定其化学成分。,espectroscopía,La espectroscopía permite a los astrónomos determinar la composición química de estrellas distantes analizando su luz emitida.,quang phổ học,Quang phổ học cho phép các nhà thiên văn xác định thành phần hóa học của các ngôi sao xa bằng cách phân tích ánh sáng phát ra từ chúng.,สเปกโทรสโกปี,สเปกโทรสโกปีช่วยให้นักดาราศาสตร์กำหนดองค์ประกอบทางเคมีของดาวฤกษ์ที่อยู่ไกลโดยวิเคราะห์แสงที่ปล่อยออกมา,spektroskopi,Spektroskopi memungkinkan para astronom menentukan komposisi kimia bintang-bintang jauh dengan menganalisis cahaya yang dipancarkannya.
redshift,The redshift of distant galaxies provides compelling evidence that the universe is expanding.,적색편이,먼 은하의 적색편이는 우주가 팽창하고 있다는 설득력 있는 증거를 제공한다.,赤方偏移,遠方の銀河の赤方偏移は宇宙が膨張していることの説得力ある証拠を提供する。,红移,遥远星系的红移为宇宙正在膨胀提供了令人信服的证据。,corrimiento al rojo,El corrimiento al rojo de las galaxias distantes proporciona evidencia convincente de que el universo se está expandiendo.,dịch chuyển đỏ,Sự dịch chuyển đỏ của các thiên hà xa cung cấp bằng chứng thuyết phục rằng vũ trụ đang giãn nở.,การเลื่อนไปทางแดง,การเลื่อนไปทางแดงของกาแล็กซีที่อยู่ห่างไกลให้หลักฐานที่น่าเชื่อว่าจักรวาลกำลังขยายตัว,pergeseran merah,Pergeseran merah dari galaksi-galaksi yang jauh memberikan bukti kuat bahwa alam semesta sedang mengembang.
eclipse,A total solar eclipse occurs when the Moon completely obscures the Sun as viewed from Earth.,식; 일식,개기 일식은 지구에서 보았을 때 달이 태양을 완전히 가릴 때 발생한다.,日食,皆既日食は地球から見て月が太陽を完全に覆い隠す時に起こる。,日食,当月球从地球上看完全遮挡住太阳时就会发生日全食。,eclipse,Un eclipse solar total ocurre cuando la Luna oscurece completamente al Sol visto desde la Tierra.,nhật thực,Nhật thực toàn phần xảy ra khi Mặt Trăng che khuất hoàn toàn Mặt Trời khi nhìn từ Trái Đất.,สุริยุปราคา,สุริยุปราคาเต็มดวงเกิดขึ้นเมื่อดวงจันทร์บดบังดวงอาทิตย์อย่างสมบูรณ์เมื่อมองจากโลก,gerhana,Gerhana matahari total terjadi ketika Bulan sepenuhnya menghalangi Matahari dilihat dari Bumi.
cosmology,Modern cosmology has been transformed by observations of the cosmic microwave background radiation.,우주론,현대 우주론은 우주 마이크로파 배경 복사의 관측에 의해 변혁되었다.,宇宙論,現代の宇宙論は宇宙マイクロ波背景放射の観測によって変革された。,宇宙学,现代宇宙学因宇宙微波背景辐射的观测而发生了变革。,cosmología,La cosmología moderna ha sido transformada por las observaciones de la radiación cósmica de fondo de microondas.,vũ trụ học,Vũ trụ học hiện đại đã được biến đổi nhờ các quan sát về bức xạ nền vi sóng vũ trụ.,จักรวาลวิทยา,จักรวาลวิทยาสมัยใหม่ได้รับการเปลี่ยนแปลงจากการสังเกตรังสีไมโครเวฟพื้นหลังจักรวาล,kosmologi,Kosmologi modern telah ditransformasi oleh pengamatan radiasi latar belakang gelombang mikro kosmis.
totalitarian,Totalitarian regimes seek to control every aspect of public and private life through pervasive surveillance and propaganda.,전체주의적인,전체주의 정권은 광범위한 감시와 선전을 통해 공적·사적 생활의 모든 측면을 통제하려 한다.,全体主義の,全体主義体制は広範な監視とプロパガンダを通じて公的・私的生活のあらゆる側面を支配しようとする。,极权主义的,极权主义政权试图通过无处不在的监控和宣传来控制公共和私人生活的方方面面。,totalitario,Los regímenes totalitarios buscan controlar cada aspecto de la vida pública y privada a través de la vigilancia y la propaganda omnipresentes.,toàn trị,Các chế độ toàn trị tìm cách kiểm soát mọi khía cạnh của đời sống công cộng và cá nhân thông qua giám sát và tuyên truyền toàn diện.,เผด็จการเบ็ดเสร็จ,ระบอบเผด็จการเบ็ดเสร็จพยายามควบคุมทุกแง่มุมของชีวิตสาธารณะและส่วนตัวผ่านการเฝ้าระวังและการโฆษณาชวนเชื่อที่แพร่หลาย,totaliter,Rezim totaliter berusaha mengendalikan setiap aspek kehidupan publik dan pribadi melalui pengawasan dan propaganda yang meresap.
authoritarian,The authoritarian leader consolidated power by systematically dismantling independent judicial institutions.,권위주의적인,권위주의적 지도자는 독립적인 사법 기관을 체계적으로 해체하여 권력을 공고히 했다.,権威主義的な,権威主義的な指導者は独立した司法機関を体系的に解体して権力を強化した。,威权主义的,该威权主义领导人通过系统性地瓦解独立的司法机构来巩固权力。,autoritario,El líder autoritario consolidó el poder desmantelando sistemáticamente las instituciones judiciales independientes.,độc đoán,Nhà lãnh đạo độc đoán đã củng cố quyền lực bằng cách có hệ thống phá hủy các cơ quan tư pháp độc lập.,เผด็จการ,ผู้นำเผด็จการรวบรวมอำนาจโดยการรื้อถอนสถาบันตุลาการอิสระอย่างเป็นระบบ,otoriter,Pemimpin otoriter mengkonsolidasikan kekuasaan dengan secara sistematis membongkar institusi peradilan yang independen.
libertarian,Libertarian philosophy prioritises individual freedom and minimal state intervention in both economic and personal matters.,자유지상주의의,자유지상주의 철학은 경제적·개인적 문제 모두에서 개인의 자유와 최소한의 국가 개입을 우선시한다.,リバタリアンの,リバタリアン思想は経済的・個人的問題の両方で個人の自由と最小限の国家介入を優先する。,自由至上主义的,自由至上主义哲学在经济和个人事务方面都优先考虑个人自由和最小的国家干预。,libertario,La filosofía libertaria prioriza la libertad individual y la mínima intervención estatal tanto en asuntos económicos como personales.,tự do cá nhân,Triết học tự do cá nhân ưu tiên quyền tự do cá nhân và sự can thiệp tối thiểu của nhà nước trong cả vấn đề kinh tế lẫn cá nhân.,เสรีนิยมสุดขั้ว,ปรัชญาเสรีนิยมสุดขั้วให้ความสำคัญกับเสรีภาพของปัจเจกบุคคลและการแทรกแซงของรัฐให้น้อยที่สุดทั้งในเรื่องเศรษฐกิจและเรื่องส่วนตัว,libertarian,Filosofi libertarian mengutamakan kebebasan individu dan intervensi negara yang minimal baik dalam urusan ekonomi maupun pribadi.
anarchism,Anarchism envisions a society organised through voluntary cooperation rather than coercive governmental structures.,아나키즘; 무정부주의,아나키즘은 강압적인 정부 구조가 아닌 자발적 협력을 통해 조직되는 사회를 구상한다.,アナキズム,アナキズムは強制的な政府構造ではなく自発的な協力によって組織される社会を構想する。,无政府主义,无政府主义设想一个通过自愿合作而非强制政府结构来组织的社会。,anarquismo,El anarquismo imagina una sociedad organizada a través de la cooperación voluntaria en lugar de estructuras gubernamentales coercitivas.,chủ nghĩa vô chính phủ,Chủ nghĩa vô chính phủ hình dung một xã hội được tổ chức thông qua hợp tác tự nguyện thay vì các cấu trúc chính phủ cưỡng bức.,อนาธิปไตย,อนาธิปไตยมองเห็นสังคมที่จัดระเบียบผ่านความร่วมมือโดยสมัครใจแทนโครงสร้างรัฐบาลที่ใช้การบังคับ,anarkisme,Anarkisme membayangkan masyarakat yang diorganisir melalui kerja sama sukarela bukan struktur pemerintahan yang memaksa.
communism,Under communism the means of production are collectively owned and class distinctions are theoretically abolished.,공산주의,공산주의 하에서 생산 수단은 집단적으로 소유되며 계급 구분은 이론적으로 폐지된다.,共産主義,共産主義の下では生産手段は集団的に所有され階級の区別は理論的に廃止される。,共产主义,在共产主义制度下生产资料归集体所有阶级差别在理论上被废除。,comunismo,Bajo el comunismo los medios de producción son de propiedad colectiva y las distinciones de clase son teóricamente abolidas.,chủ nghĩa cộng sản,Dưới chủ nghĩa cộng sản tư liệu sản xuất thuộc sở hữu tập thể và sự phân biệt giai cấp về lý thuyết bị xóa bỏ.,คอมมิวนิสม์,ภายใต้คอมมิวนิสม์ ปัจจัยการผลิตเป็นของส่วนรวมและความแตกต่างทางชนชั้นถูกยกเลิกในทางทฤษฎี,komunisme,Di bawah komunisme alat-alat produksi dimiliki secara kolektif dan perbedaan kelas secara teoritis dihapuskan.
capitalism,Proponents of capitalism argue that free markets drive innovation and allocate resources most efficiently.,자본주의,자본주의 지지자들은 자유 시장이 혁신을 주도하고 자원을 가장 효율적으로 배분한다고 주장한다.,資本主義,資本主義の支持者は自由市場がイノベーションを促進し資源を最も効率的に配分すると主張する。,资本主义,资本主义的支持者认为自由市场推动创新并最有效地配置资源。,capitalismo,Los defensores del capitalismo argumentan que los mercados libres impulsan la innovación y asignan los recursos de manera más eficiente.,chủ nghĩa tư bản,Những người ủng hộ chủ nghĩa tư bản cho rằng thị trường tự do thúc đẩy đổi mới và phân bổ nguồn lực hiệu quả nhất.,ทุนนิยม,ผู้สนับสนุนทุนนิยมโต้แย้งว่าตลาดเสรีขับเคลื่อนนวัตกรรมและจัดสรรทรัพยากรอย่างมีประสิทธิภาพที่สุด,kapitalisme,Pendukung kapitalisme berpendapat bahwa pasar bebas mendorong inovasi dan mengalokasikan sumber daya paling efisien.socialism,Socialism advocates for public or cooperative ownership of the means of production to reduce economic inequality.,사회주의,사회주의는 경제적 불평등을 줄이기 위해 생산 수단의 공적 또는 협동적 소유를 옹호한다.,社会主義,社会主義は経済的不平等を減らすために生産手段の公的または協同的所有を提唱する。,社会主义,社会主义倡导生产资料的公有或合作所有以减少经济不平等。,socialismo,El socialismo aboga por la propiedad pública o cooperativa de los medios de producción para reducir la desigualdad económica.,chủ nghĩa xã hội,Chủ nghĩa xã hội ủng hộ quyền sở hữu công cộng hoặc hợp tác đối với tư liệu sản xuất nhằm giảm bất bình đẳng kinh tế.,สังคมนิยม,สังคมนิยมสนับสนุนการเป็นเจ้าของสาธารณะหรือสหกรณ์ของปัจจัยการผลิตเพื่อลดความเหลื่อมล้ำทางเศรษฐกิจ,sosialisme,Sosialisme mengadvokasi kepemilikan publik atau kooperatif atas alat-alat produksi untuk mengurangi ketimpangan ekonomi.
federalism,Federalism distributes governmental authority between a central body and constituent regional units.,연방주의,연방주의는 정부 권한을 중앙 기관과 구성 지역 단위 간에 분배한다.,連邦主義,連邦主義は政府の権限を中央機関と構成地域単位の間に分配する。,联邦制,联邦制将政府权力分配给中央机构和组成区域单位。,federalismo,El federalismo distribuye la autoridad gubernamental entre un cuerpo central y unidades regionales constituyentes.,chủ nghĩa liên bang,Chủ nghĩa liên bang phân phối quyền lực chính phủ giữa cơ quan trung ương và các đơn vị khu vực thành viên.,สหพันธรัฐนิยม,สหพันธรัฐนิยมกระจายอำนาจรัฐบาลระหว่างองค์กรกลางกับหน่วยภูมิภาคที่เป็นส่วนประกอบ,federalisme,Federalisme mendistribusikan otoritas pemerintahan antara badan pusat dan unit-unit regional konstituen.
populism,Populism frames political conflict as a struggle between ordinary citizens and a corrupt elite.,포퓰리즘; 대중주의,포퓰리즘은 정치적 갈등을 평범한 시민과 부패한 엘리트 사이의 투쟁으로 틀지운다.,ポピュリズム,ポピュリズムは政治的対立を一般市民と腐敗したエリートの闘争として位置づける。,民粹主义,民粹主义将政治冲突定义为普通公民与腐败精英之间的斗争。,populismo,El populismo enmarca el conflicto político como una lucha entre los ciudadanos comunes y una élite corrupta.,chủ nghĩa dân túy,Chủ nghĩa dân túy định hình xung đột chính trị như một cuộc đấu tranh giữa công dân bình thường và giới tinh hoa tham nhũng.,ประชานิยม,ประชานิยมวางกรอบความขัดแย้งทางการเมืองเป็นการต่อสู้ระหว่างประชาชนทั่วไปกับชนชั้นนำที่ฉ้อฉล,populisme,Populisme membingkai konflik politik sebagai perjuangan antara warga biasa dan elit yang korup.
sovereignty,National sovereignty remains a cornerstone of international law even as globalisation erodes traditional borders.,주권,국가 주권은 세계화가 전통적 국경을 침식하는 가운데서도 국제법의 초석으로 남아 있다.,主権,国家主権はグローバル化が伝統的な国境を侵食する中でも国際法の礎石であり続けている。,主权,即使全球化侵蚀了传统边界国家主权仍然是国际法的基石。,soberanía,La soberanía nacional sigue siendo una piedra angular del derecho internacional incluso mientras la globalización erosiona las fronteras tradicionales.,chủ quyền,Chủ quyền quốc gia vẫn là nền tảng của luật quốc tế ngay cả khi toàn cầu hóa xói mòn các biên giới truyền thống.,อำนาจอธิปไตย,อำนาจอธิปไตยของชาติยังคงเป็นรากฐานของกฎหมายระหว่างประเทศแม้ว่าโลกาภิวัตน์จะกัดเซาะพรมแดนแบบดั้งเดิม,kedaulatan,Kedaulatan nasional tetap menjadi landasan hukum internasional meskipun globalisasi mengikis perbatasan tradisional.
oligarchy,Critics warned that unchecked wealth concentration was transforming the democracy into an oligarchy.,과두제,비평가들은 통제되지 않는 부의 집중이 민주주의를 과두제로 변질시키고 있다고 경고했다.,寡頭制,批評家たちは制御されない富の集中が民主主義を寡頭制に変えていると警告した。,寡头政治,批评人士警告说不受制约的财富集中正在将民主制度转变为寡头政治。,oligarquía,Los críticos advirtieron que la concentración de riqueza sin control estaba transformando la democracia en una oligarquía.,chế độ đầu sỏ,Các nhà phê bình cảnh báo rằng sự tập trung tài sản không kiểm soát đang biến nền dân chủ thành chế độ đầu sỏ.,คณาธิปไตย,นักวิจารณ์เตือนว่าการกระจุกตัวของความมั่งคั่งอย่างไม่มีการควบคุมกำลังเปลี่ยนประชาธิปไตยให้เป็นคณาธิปไตย,oligarki,Para kritikus memperingatkan bahwa konsentrasi kekayaan yang tidak terkendali sedang mengubah demokrasi menjadi oligarki.
theocracy,In a theocracy religious authorities govern the state and religious law supersedes secular legislation.,신정정치,신정정치에서는 종교 지도자가 국가를 통치하며 종교법이 세속 법률보다 우선한다.,神権政治,神権政治では宗教的権威が国家を統治し宗教法が世俗的な法律に優先する。,神权政治,在神权政治中宗教当局统治国家宗教法律凌驾于世俗立法之上。,teocracia,En una teocracia las autoridades religiosas gobiernan el estado y la ley religiosa reemplaza la legislación secular.,thần quyền,Trong chế độ thần quyền các nhà lãnh đạo tôn giáo cai trị nhà nước và luật tôn giáo thay thế pháp luật thế tục.,เทวาธิปไตย,ในระบอบเทวาธิปไตย ผู้มีอำนาจทางศาสนาปกครองรัฐและกฎหมายศาสนาเหนือกว่ากฎหมายทางโลก,teokrasi,Dalam teokrasi otoritas agama memerintah negara dan hukum agama menggantikan legislasi sekuler.
plutocracy,The concentration of political influence among the ultra-wealthy effectively created a plutocracy.,금권정치,초부유층 사이에 정치적 영향력이 집중되면서 사실상 금권정치가 형성되었다.,金権政治,超富裕層の間に政治的影響力が集中したことで事実上の金権政治が生まれた。,财阀政治,政治影响力在超级富豪中的集中实际上创造了一种财阀政治。,plutocracia,La concentración de influencia política entre los ultrarricos creó efectivamente una plutocracia.,chế độ tài phiệt,Sự tập trung ảnh hưởng chính trị trong tay giới siêu giàu đã tạo ra chế độ tài phiệt trên thực tế.,ธนาธิปไตย,การกระจุกตัวของอิทธิพลทางการเมืองในหมู่คนร่ำรวยที่สุดสร้างธนาธิปไตยอย่างมีประสิทธิผล,plutokrasi,Konsentrasi pengaruh politik di kalangan orang-orang sangat kaya secara efektif menciptakan plutokrasi.
meritocracy,A true meritocracy rewards talent and effort irrespective of social background or inherited privilege.,능력주의,진정한 능력주의는 사회적 배경이나 물려받은 특권에 관계없이 재능과 노력에 보상을 준다.,実力主義,真の実力主義は社会的背景や相続された特権に関係なく才能と努力に報いる。,精英政治,真正的精英政治不论社会背景或世袭特权都会奖励才能和努力。,meritocracia,Una verdadera meritocracia recompensa el talento y el esfuerzo independientemente del origen social o el privilegio heredado.,chế độ nhân tài,Chế độ nhân tài thực sự tưởng thưởng tài năng và nỗ lực bất kể xuất thân xã hội hay đặc quyền thừa kế.,ระบบคุณธรรม,ระบบคุณธรรมที่แท้จริงให้รางวัลแก่ความสามารถและความพยายามโดยไม่คำนึงถึงภูมิหลังทางสังคมหรือสิทธิพิเศษที่สืบทอดมา,meritokrasi,Meritokrasi sejati menghargai bakat dan usaha tanpa memandang latar belakang sosial atau hak istimewa yang diwarisi.
autocracy,The country's gradual slide into autocracy went largely unnoticed until press freedoms had been effectively eliminated.,독재정치,그 나라가 독재정치로 점진적으로 미끄러진 것은 언론의 자유가 사실상 폐지될 때까지 크게 주목받지 못했다.,独裁政治,その国が独裁政治へと徐々に移行したことは報道の自由が事実上排除されるまでほとんど気づかれなかった。,独裁政治,该国逐渐滑向独裁政治但直到新闻自由被有效消除后才被广泛注意到。,autocracia,El deslizamiento gradual del país hacia la autocracia pasó en gran parte desapercibido hasta que las libertades de prensa fueron efectivamente eliminadas.,chế độ chuyên quyền,Sự trượt dần của đất nước vào chế độ chuyên quyền phần lớn không được chú ý cho đến khi quyền tự do báo chí bị loại bỏ trên thực tế.,ระบอบเผด็จการ,การเลื่อนไหลอย่างค่อยเป็นค่อยไปของประเทศสู่ระบอบเผด็จการไม่ได้รับความสนใจจนกว่าเสรีภาพสื่อจะถูกกำจัดอย่างมีประสิทธิผล,otokrasi,Kemunduran negara secara bertahap menuju otokrasi sebagian besar tidak disadari sampai kebebasan pers secara efektif dihilangkan.
ideology,Political ideology shapes how citizens interpret social problems and envision potential solutions.,이념; 이데올로기,정치적 이념은 시민들이 사회 문제를 해석하고 잠재적 해결책을 구상하는 방식을 형성한다.,イデオロギー,政治的イデオロギーは市民が社会問題をどう解釈し潜在的な解決策をどう構想するかを形作る。,意识形态,政治意识形态塑造了公民解读社会问题和设想潜在解决方案的方式。,ideología,La ideología política moldea cómo los ciudadanos interpretan los problemas sociales e imaginan posibles soluciones.,hệ tư tưởng,Hệ tư tưởng chính trị định hình cách công dân diễn giải các vấn đề xã hội và hình dung các giải pháp tiềm năng.,อุดมการณ์,อุดมการณ์ทางการเมืองกำหนดวิธีที่พลเมืองตีความปัญหาสังคมและจินตนาการถึงทางออกที่เป็นไปได้,ideologi,Ideologi politik membentuk cara warga menafsirkan masalah sosial dan membayangkan solusi potensial.
egalitarian,The egalitarian movement championed equal rights and opportunities for all members of society regardless of gender or ethnicity.,평등주의의,평등주의 운동은 성별이나 민족에 관계없이 사회의 모든 구성원에게 동등한 권리와 기회를 옹호했다.,平等主義の,平等主義運動は性別や民族に関係なく社会の全構成員に平等な権利と機会を擁護した。,平等主义的,平等主义运动倡导不论性别或种族社会所有成员都享有平等的权利和机会。,igualitario,El movimiento igualitario defendió la igualdad de derechos y oportunidades para todos los miembros de la sociedad sin importar el género o la etnia.,bình đẳng,Phong trào bình đẳng đã đấu tranh cho quyền bình đẳng và cơ hội cho tất cả thành viên trong xã hội bất kể giới tính hay sắc tộc.,เสมอภาค,ขบวนการเสมอภาคสนับสนุนสิทธิและโอกาสที่เท่าเทียมกันสำหรับสมาชิกทุกคนในสังคมโดยไม่คำนึงถึงเพศหรือชาติพันธุ์,egaliter,Gerakan egaliter memperjuangkan hak dan kesempatan yang setara bagi semua anggota masyarakat tanpa memandang gender atau etnis.
bipartisan,The bipartisan agreement on infrastructure spending was a rare instance of cross-party cooperation.,초당적인,인프라 지출에 대한 초당적 합의는 정당 간 협력의 드문 사례였다.,超党派の,インフラ支出に関する超党派の合意は党派を超えた協力の稀な例であった。,两党的,关于基础设施支出的两党协议是跨党合作的罕见实例。,bipartidista,El acuerdo bipartidista sobre el gasto en infraestructura fue una rara instancia de cooperación entre partidos.,lưỡng đảng,Thỏa thuận lưỡng đảng về chi tiêu cơ sở hạ tầng là một trường hợp hiếm hoi của sự hợp tác xuyên đảng phái.,สองพรรค,ข้อตกลงสองพรรคเกี่ยวกับการใช้จ่ายด้านโครงสร้างพื้นฐานเป็นกรณีที่หายากของความร่วมมือข้ามพรรค,bipartisan,Kesepakatan bipartisan tentang pengeluaran infrastruktur merupakan contoh langka kerja sama lintas partai.
constituency,The politician tailored her message to appeal to her rural constituency whose concerns differed markedly from urban voters.,선거구; 지지 기반,그 정치인은 도시 유권자와 현저히 다른 관심사를 가진 농촌 선거구에 호소하기 위해 메시지를 맞춤화했다.,選挙区,その政治家は都市部の有権者とは著しく異なる関心を持つ農村部の選挙区に訴えるようメッセージを調整した。,选区,这位政治家调整了她的信息以吸引她的农村选区而这些选民的关注点与城市选民明显不同。,circunscripción,La política adaptó su mensaje para atraer a su circunscripción rural cuyas preocupaciones diferían notablemente de las de los votantes urbanos.,khu vực bầu cử,Chính trị gia đó đã điều chỉnh thông điệp để thu hút khu vực bầu cử nông thôn của bà vốn có mối quan tâm khác biệt rõ rệt so với cử tri thành thị.,เขตเลือกตั้ง,นักการเมืองปรับแต่งข้อความเพื่อดึงดูดเขตเลือกตั้งในชนบทซึ่งมีความกังวลแตกต่างอย่างเห็นได้ชัดจากผู้มีสิทธิเลือกตั้งในเมือง,konstituensi,Politisi tersebut menyesuaikan pesannya untuk menarik konstituensi pedesaannya yang kekhawatirannya sangat berbeda dari pemilih perkotaan.
impeachment,The impeachment proceedings dominated the national discourse for several months.,탄핵,탄핵 절차가 수개월 동안 국가적 담론을 지배했다.,弾劾,弾劾手続きは数か月にわたり国内の議論を支配した。,弹劾,弹劾程序在数月内主导了全国性的讨论。,juicio político,Los procedimientos de juicio político dominaron el discurso nacional durante varios meses.,luận tội,Các thủ tục luận tội đã chi phối diễn đàn quốc gia trong nhiều tháng.,การถอดถอน,กระบวนการถอดถอนครอบงำวาทกรรมระดับชาติเป็นเวลาหลายเดือน,pemakzulan,Proses pemakzulan mendominasi wacana nasional selama beberapa bulan.
suffrage,Universal suffrage was only achieved after decades of persistent activism and legislative reform.,참정권; 투표권,보통 선거권은 수십 년간의 끈질긴 활동과 입법 개혁 끝에야 달성되었다.,参政権,普通選挙権は数十年にわたる粘り強い活動と法律改革の後にようやく達成された。,选举权,普选权是在数十年的持续行动和立法改革之后才实现的。,sufragio,El sufragio universal solo se logró después de décadas de activismo persistente y reforma legislativa.,quyền bầu cử,Quyền bầu cử phổ thông chỉ đạt được sau nhiều thập kỷ hoạt động kiên trì và cải cách lập pháp.,สิทธิเลือกตั้ง,สิทธิเลือกตั้งทั่วไปบรรลุผลสำเร็จหลังจากหลายทศวรรษของการเคลื่อนไหวอย่างต่อเนื่องและการปฏิรูปทางกฎหมาย,hak pilih,Hak pilih universal baru tercapai setelah beberapa dekade aktivisme yang gigih dan reformasi legislatif.
ratification,The treaty required ratification by at least two-thirds of the member states before it could take effect.,비준,그 조약은 효력을 발휘하기 위해 최소 회원국 3분의 2의 비준이 필요했다.,批准,その条約は発効するために少なくとも加盟国の3分の2による批准が必要であった。,批准,该条约需要至少三分之二的成员国批准才能生效。,ratificación,El tratado requería la ratificación de al menos dos tercios de los estados miembros antes de poder entrar en vigor.,phê chuẩn,Hiệp ước yêu cầu sự phê chuẩn của ít nhất hai phần ba các quốc gia thành viên trước khi có thể có hiệu lực.,การให้สัตยาบัน,สนธิสัญญาต้องการการให้สัตยาบันจากอย่างน้อยสองในสามของรัฐสมาชิกก่อนจะมีผลบังคับใช้,ratifikasi,Perjanjian tersebut membutuhkan ratifikasi oleh setidaknya dua pertiga negara anggota sebelum dapat berlaku.
gerrymander,Opposition parties accused the ruling coalition of attempting to gerrymander electoral districts to secure a permanent majority.,게리맨더링하다,야당들은 여당 연합이 영구적 다수석을 확보하기 위해 선거구를 게리맨더링하려 한다고 비난했다.,ゲリマンダーを行う,野党は与党連合が恒久的な多数派を確保するために選挙区のゲリマンダーを試みていると非難した。,不公正划分选区,反对党指责执政联盟试图不公正地划分选区以确保永久多数席位。,manipular distritos electorales,Los partidos de oposición acusaron a la coalición gobernante de intentar manipular los distritos electorales para asegurar una mayoría permanente.,phân chia lại khu vực bầu cử,Các đảng đối lập cáo buộc liên minh cầm quyền cố gắng phân chia lại khu vực bầu cử để đảm bảo đa số vĩnh viễn.,แบ่งเขตเลือกตั้งอย่างไม่เป็นธรรม,พรรคฝ่ายค้านกล่าวหาว่ารัฐบาลผสมพยายามแบ่งเขตเลือกตั้งอย่างไม่เป็นธรรมเพื่อรักษาเสียงข้างมากถาวร,persekongkolan distrik,Partai oposisi menuduh koalisi pemerintah berusaha memanipulasi distrik pemilihan untuk mengamankan mayoritas permanen.
notwithstanding,Notwithstanding the severe budgetary constraints the research team managed to produce groundbreaking results.,그럼에도 불구하고,심각한 예산 제약에도 불구하고 연구팀은 획기적인 결과를 도출했다.,にもかかわらず,厳しい予算制約にもかかわらず研究チームは画期的な成果を上げることに成功した。,尽管,尽管预算严重受限研究团队仍设法取得了突破性成果。,no obstante,No obstante las severas restricciones presupuestarias el equipo de investigación logró producir resultados revolucionarios.,bất chấp,Bất chấp những hạn chế nghiêm trọng về ngân sách nhóm nghiên cứu vẫn đạt được kết quả đột phá.,แม้ว่า; ทั้ง ๆ ที่,แม้ว่าจะมีข้อจำกัดด้านงบประมาณอย่างรุนแรง ทีมวิจัยก็สามารถสร้างผลลัพธ์ที่ก้าวล้ำได้,meskipun demikian,Meskipun ada kendala anggaran yang parah tim peneliti berhasil menghasilkan temuan yang terobosan.
