jurisprudence,The professor's lecture on jurisprudence explored the philosophical foundations of legal systems.,법학,그 교수의 법학 강의는 법 체계의 철학적 기초를 탐구했다.,法学,その教授の法学の講義は法体系の哲学的基礎を探究した。,法理学,那位教授的法理学讲座探讨了法律体系的哲学基础。,jurisprudencia,La conferencia del profesor sobre jurisprudencia exploró los fundamentos filosóficos de los sistemas legales.,luật học,Bài giảng của giáo sư về luật học đã khám phá nền tảng triết học của các hệ thống pháp luật.,นิติศาสตร์,การบรรยายของศาสตราจารย์เรื่องนิติศาสตร์ได้สำรวจรากฐานทางปรัชญาของระบบกฎหมาย,yurisprudensi,Kuliah profesor tentang yurisprudensi mengeksplorasi dasar filosofis sistem hukum.
redshift,The cosmological redshift of distant galaxies provides evidence for the expansion of the universe.,적색편이,먼 은하의 우주론적 적색편이는 우주 팽창에 대한 증거를 제공한다.,赤方偏移,遠方の銀河の宇宙論的赤方偏移は宇宙の膨張の証拠を提供する。,红移,遥远星系的宇宙学红移为宇宙膨胀提供了证据。,corrimiento al rojo,El corrimiento al rojo cosmológico de galaxias distantes proporciona evidencia de la expansión del universo.,dịch chuyển đỏ,Dịch chuyển đỏ vũ trụ học của các thiên hà xa cung cấp bằng chứng cho sự giãn nở của vũ trụ.,การเลื่อนไปทางแดง,การเลื่อนไปทางแดงทางจักรวาลวิทยาของกาแล็กซีที่อยู่ไกลให้หลักฐานของการขยายตัวของเอกภพ,pergeseran merah,Pergeseran merah kosmologis galaksi-galaksi jauh memberikan bukti ekspansi alam semesta.
accretion disk,An accretion disk forms when matter spirals inward toward a compact object such as a black hole.,강착원반,강착원반은 물질이 블랙홀과 같은 치밀한 천체를 향해 안쪽으로 나선형으로 움직일 때 형성된다.,降着円盤,降着円盤はブラックホールのようなコンパクト天体に向かって物質が内側に渦を巻くときに形成される。,吸积盘,当物质向黑洞等致密天体内旋时形成吸积盘。,disco de acreción,Un disco de acreción se forma cuando la materia espirala hacia el interior de un objeto compacto como un agujero negro.,đĩa bồi tụ,Đĩa bồi tụ hình thành khi vật chất xoáy vào phía trong hướng tới một vật thể chặt như hố đen.,จานสะสมมวล,จานสะสมมวลเกิดขึ้นเมื่อสสารหมุนวนเข้าด้านในไปยังวัตถุอัดแน่นเช่นหลุมดำ,piringan akresi,Piringan akresi terbentuk ketika materi berputar ke dalam menuju objek kompak seperti lubang hitam.
gravitational lensing,Gravitational lensing bends light from distant sources as it passes through the warped spacetime near massive objects.,중력렌즈,중력렌즈는 거대한 천체 근처의 휘어진 시공간을 통과할 때 먼 광원의 빛을 휘게 한다.,重力レンズ,重力レンズは巨大な天体の近くの歪んだ時空を通過する際に遠方の光源からの光を曲げる。,引力透镜,引力透镜在光线经过大质量天体附近弯曲的时空时使来自遥远光源的光发生弯曲。,lente gravitacional,La lente gravitacional curva la luz de fuentes distantes al pasar por el espacio-tiempo deformado cerca de objetos masivos.,thấu kính hấp dẫn,Thấu kính hấp dẫn bẻ cong ánh sáng từ các nguồn xa khi nó đi qua không-thời gian bị biến dạng gần các vật thể lớn.,เลนส์ความโน้มถ่วง,เลนส์ความโน้มถ่วงเบี่ยงเบนแสงจากแหล่งกำเนิดที่อยู่ไกลเมื่อผ่านกาลอวกาศที่บิดเบี้ยวใกล้วัตถุมวลมาก,lensa gravitasi,Lensa gravitasi membelokkan cahaya dari sumber jauh saat melewati ruang-waktu yang melengkung di dekat objek masif.
cosmic microwave background,The cosmic microwave background radiation is a relic of the early universe shortly after the Big Bang.,우주 마이크로파 배경,우주 마이크로파 배경 복사는 빅뱅 직후 초기 우주의 유물이다.,宇宙マイクロ波背景放射,宇宙マイクロ波背景放射はビッグバンの直後の初期宇宙の遺物である。,宇宙微波背景,宇宙微波背景辐射是大爆炸后不久早期宇宙的遗迹。,radiación cósmica de fondo de microondas,La radiación cósmica de fondo de microondas es una reliquia del universo temprano poco después del Big Bang.,bức xạ nền vi sóng vũ trụ,Bức xạ nền vi sóng vũ trụ là di tích của vũ trụ sơ khai ngay sau Vụ Nổ Lớn.,รังสีไมโครเวฟพื้นหลังของจักรวาล,รังสีไมโครเวฟพื้นหลังของจักรวาลเป็นสิ่งที่หลงเหลือจากเอกภพยุคแรกหลังบิกแบงไม่นาน,radiasi latar belakang gelombang mikro kosmik,Radiasi latar belakang gelombang mikro kosmik adalah peninggalan alam semesta awal tak lama setelah Big Bang.
dark matter,Dark matter constitutes approximately twenty-seven percent of the universe yet remains undetectable by electromagnetic radiation.,암흑물질,암흑물질은 우주의 약 27퍼센트를 구성하지만 전자기 복사로는 감지할 수 없다.,暗黒物質,暗黒物質は宇宙の約27パーセントを構成するが電磁放射では検出できない。,暗物质,暗物质约占宇宙的百分之二十七，但仍无法通过电磁辐射探测到。,materia oscura,La materia oscura constituye aproximadamente el veintisiete por ciento del universo pero permanece indetectable por radiación electromagnética.,vật chất tối,Vật chất tối chiếm khoảng hai mươi bảy phần trăm vũ trụ nhưng vẫn không thể phát hiện bằng bức xạ điện từ.,สสารมืด,สสารมืดคิดเป็นประมาณยี่สิบเจ็ดเปอร์เซ็นต์ของเอกภพแต่ยังคงตรวจจับไม่ได้ด้วยรังสีแม่เหล็กไฟฟ้า,materi gelap,Materi gelap merupakan sekitar dua puluh tujuh persen alam semesta namun tetap tidak terdeteksi oleh radiasi elektromagnetik.
event horizon,The event horizon marks the boundary beyond which nothing can escape a black hole's gravitational pull.,사건의 지평선,사건의 지평선은 블랙홀의 중력에서 아무것도 탈출할 수 없는 경계를 표시한다.,事象の地平面,事象の地平面はブラックホールの重力から何も脱出できない境界を示す。,事件视界,事件视界标志着任何物体都无法逃脱黑洞引力的边界。,horizonte de eventos,El horizonte de eventos marca el límite más allá del cual nada puede escapar de la atracción gravitacional de un agujero negro.,chân trời sự kiện,Chân trời sự kiện đánh dấu ranh giới mà không gì có thể thoát khỏi lực hấp dẫn của hố đen.,ขอบฟ้าเหตุการณ์,ขอบฟ้าเหตุการณ์เป็นเส้นแบ่งเขตที่ไม่มีสิ่งใดสามารถหลุดพ้นจากแรงโน้มถ่วงของหลุมดำได้,cakrawala peristiwa,Cakrawala peristiwa menandai batas di mana tidak ada yang bisa lolos dari tarikan gravitasi lubang hitam.
neutron degeneracy,Neutron degeneracy pressure prevents further gravitational collapse in neutron stars.,중성자 축퇴,중성자 축퇴 압력은 중성자별에서 추가적인 중력 붕괴를 방지한다.,中性子縮退,中性子縮退圧は中性子星におけるさらなる重力崩壊を防ぐ。,中子简并,中子简并压力防止中子星进一步的引力坍缩。,degeneración de neutrones,La presión de degeneración de neutrones previene un mayor colapso gravitacional en las estrellas de neutrones.,suy biến neutron,Áp suất suy biến neutron ngăn chặn sự sụp đổ hấp dẫn tiếp theo trong các sao neutron.,ความเสื่อมของนิวตรอน,แรงดันความเสื่อมของนิวตรอนป้องกันการยุบตัวเพิ่มเติมจากแรงโน้มถ่วงในดาวนิวตรอน,degenerasi neutron,Tekanan degenerasi neutron mencegah keruntuhan gravitasi lebih lanjut pada bintang neutron.
Chandrasekhar limit,The Chandrasekhar limit defines the maximum mass a white dwarf can sustain before collapsing.,찬드라세카르 한계,찬드라세카르 한계는 백색왜성이 붕괴하기 전에 유지할 수 있는 최대 질량을 정의한다.,チャンドラセカール限界,チャンドラセカール限界は白色矮星が崩壊する前に維持できる最大質量を定義する。,钱德拉塞卡极限,钱德拉塞卡极限定义了白矮星在坍缩前能维持的最大质量。,límite de Chandrasekhar,El límite de Chandrasekhar define la masa máxima que una enana blanca puede sostener antes de colapsar.,giới hạn Chandrasekhar,Giới hạn Chandrasekhar xác định khối lượng tối đa mà một sao lùn trắng có thể duy trì trước khi sụp đổ.,ขีดจำกัดจันทรเสกขร,ขีดจำกัดจันทรเสกขรกำหนดมวลสูงสุดที่ดาวแคระขาวสามารถรองรับได้ก่อนยุบตัว,batas Chandrasekhar,Batas Chandrasekhar mendefinisikan massa maksimum yang dapat ditopang bintang katai putih sebelum runtuh.
Hertzsprung-Russell diagram,The Hertzsprung-Russell diagram classifies stars according to their luminosity and surface temperature.,헤르츠스프룽-러셀 도표,헤르츠스프룽-러셀 도표는 별을 광도와 표면 온도에 따라 분류한다.,ヘルツシュプルング・ラッセル図,ヘルツシュプルング・ラッセル図は恒星を光度と表面温度に従って分類する。,赫罗图,赫罗图根据恒星的光度和表面温度对其进行分类。,diagrama de Hertzsprung-Russell,El diagrama de Hertzsprung-Russell clasifica las estrellas según su luminosidad y temperatura superficial.,biểu đồ Hertzsprung-Russell,Biểu đồ Hertzsprung-Russell phân loại các ngôi sao theo độ sáng và nhiệt độ bề mặt của chúng.,แผนภาพเฮิร์ตสปรุง-รัสเซลล์,แผนภาพเฮิร์ตสปรุง-รัสเซลล์จำแนกดาวฤกษ์ตามความส่องสว่างและอุณหภูมิพื้นผิว,diagram Hertzsprung-Russell,Diagram Hertzsprung-Russell mengklasifikasikan bintang berdasarkan luminositas dan suhu permukaannya.
magnetohydrodynamics,Magnetohydrodynamics describes the behavior of electrically conducting fluids in the presence of magnetic fields.,자기유체역학,자기유체역학은 자기장이 존재하는 상태에서 전기 전도성 유체의 거동을 설명한다.,磁気流体力学,磁気流体力学は磁場の存在下での導電性流体の挙動を記述する。,磁流体动力学,磁流体动力学描述了电导流体在磁场存在下的行为。,magnetohidrodinámica,La magnetohidrodinámica describe el comportamiento de fluidos eléctricamente conductores en presencia de campos magnéticos.,từ thủy động lực học,Từ thủy động lực học mô tả hành vi của chất lỏng dẫn điện trong sự hiện diện của từ trường.,แมกนีโตไฮโดรไดนามิกส์,แมกนีโตไฮโดรไดนามิกส์อธิบายพฤติกรรมของของไหลที่นำไฟฟ้าในสนามแม่เหล็ก,magnetohidrodinamika,Magnetohidrodinamika menggambarkan perilaku fluida penghantar listrik dalam kehadiran medan magnet.
baryonic matter,Baryonic matter comprises the ordinary atoms and molecules that constitute visible celestial objects.,바리온 물질,바리온 물질은 가시적인 천체를 구성하는 일반적인 원자와 분자로 이루어진다.,バリオン物質,バリオン物質は可視的な天体を構成する通常の原子と分子から成る。,重子物质,重子物质由构成可见天体的普通原子和分子组成。,materia bariónica,La materia bariónica comprende los átomos y moléculas ordinarios que constituyen los objetos celestes visibles.,vật chất baryon,Vật chất baryon bao gồm các nguyên tử và phân tử thông thường tạo nên các thiên thể nhìn thấy được.,สสารแบริออน,สสารแบริออนประกอบด้วยอะตอมและโมเลกุลธรรมดาที่เป็นองค์ประกอบของวัตถุท้องฟ้าที่มองเห็นได้,materi barionik,Materi barionik terdiri dari atom dan molekul biasa yang membentuk objek langit yang terlihat.
Schwarzschild radius,The Schwarzschild radius determines the size of the event horizon for a non-rotating black hole.,슈바르츠실트 반지름,슈바르츠실트 반지름은 비회전 블랙홀의 사건의 지평선 크기를 결정한다.,シュヴァルツシルト半径,シュヴァルツシルト半径は非回転ブラックホールの事象の地平面の大きさを決定する。,史瓦西半径,史瓦西半径决定了非旋转黑洞事件视界的大小。,radio de Schwarzschild,El radio de Schwarzschild determina el tamaño del horizonte de eventos para un agujero negro sin rotación.,bán kính Schwarzschild,Bán kính Schwarzschild xác định kích thước của chân trời sự kiện cho một hố đen không quay.,รัศมีชวาร์สชิลด์,รัศมีชวาร์สชิลด์กำหนดขนาดของขอบฟ้าเหตุการณ์สำหรับหลุมดำที่ไม่หมุน,radius Schwarzschild,Radius Schwarzschild menentukan ukuran cakrawala peristiwa untuk lubang hitam yang tidak berotasi.
spectroscopy,Spectroscopy reveals the chemical composition of distant stars by analyzing their emitted light spectra.,분광학,분광학은 방출된 빛 스펙트럼을 분석하여 먼 별의 화학적 구성을 밝힌다.,分光学,分光学は放出された光のスペクトルを分析することで遠方の恒星の化学組成を明らかにする。,光谱学,光谱学通过分析恒星发出的光谱来揭示遥远恒星的化学组成。,espectroscopía,La espectroscopía revela la composición química de estrellas distantes analizando sus espectros de luz emitida.,quang phổ học,Quang phổ học tiết lộ thành phần hóa học của các ngôi sao xa bằng cách phân tích quang phổ ánh sáng phát ra.,สเปกโทรสโกปี,สเปกโทรสโกปีเผยให้เห็นองค์ประกอบทางเคมีของดาวฤกษ์ที่อยู่ไกลโดยการวิเคราะห์สเปกตรัมแสงที่ปล่อยออกมา,spektroskopi,Spektroskopi mengungkapkan komposisi kimia bintang jauh dengan menganalisis spektrum cahaya yang dipancarkannya.
cosmological constant,Einstein introduced the cosmological constant to account for a static universe before the discovery of expansion.,우주상수,아인슈타인은 팽창 발견 전에 정적 우주를 설명하기 위해 우주상수를 도입했다.,宇宙定数,アインシュタインは膨張の発見前に静的宇宙を説明するために宇宙定数を導入した。,宇宙学常数,爱因斯坦在发现膨胀之前引入了宇宙学常数来解释静态宇宙。,constante cosmológica,Einstein introdujo la constante cosmológica para explicar un universo estático antes del descubrimiento de la expansión.,hằng số vũ trụ,Einstein đã giới thiệu hằng số vũ trụ để giải thích cho một vũ trụ tĩnh trước khi phát hiện ra sự giãn nở.,ค่าคงที่จักรวาล,ไอน์สไตน์นำค่าคงที่จักรวาลมาใช้เพื่ออธิบายเอกภพแบบคงที่ก่อนการค้นพบการขยายตัว,konstanta kosmologis,Einstein memperkenalkan konstanta kosmologis untuk menjelaskan alam semesta statis sebelum penemuan ekspansi.
parallax,Stellar parallax measures the apparent shift in a star's position caused by Earth's orbital motion.,시차,항성 시차는 지구의 궤도 운동에 의해 발생하는 별의 겉보기 위치 변화를 측정한다.,視差,恒星視差は地球の軌道運動によって引き起こされる恒星の見かけの位置のずれを測定する。,视差,恒星视差测量由地球轨道运动引起的恒星位置的表观偏移。,paralaje,El paralaje estelar mide el desplazamiento aparente en la posición de una estrella causado por el movimiento orbital de la Tierra.,thị sai,Thị sai sao đo sự dịch chuyển biểu kiến trong vị trí của ngôi sao do chuyển động quỹ đạo của Trái Đất gây ra.,พารัลแลกซ์,พารัลแลกซ์ของดาวฤกษ์วัดการเปลี่ยนแปลงตำแหน่งปรากฏของดาวฤกษ์ที่เกิดจากการเคลื่อนที่ในวงโคจรของโลก,paralaks,Paralaks bintang mengukur pergeseran nyata pada posisi bintang yang disebabkan oleh gerakan orbit Bumi.
cosmic inflation,Cosmic inflation theory explains the rapid exponential expansion of the universe in its earliest moments.,우주 인플레이션,우주 인플레이션 이론은 우주 초기의 급격한 지수적 팽창을 설명한다.,宇宙インフレーション,宇宙インフレーション理論は宇宙の最初期における急速な指数関数的膨張を説明する。,宇宙暴胀,宇宙暴胀理论解释了宇宙在最早期的快速指数膨胀。,inflación cósmica,La teoría de la inflación cósmica explica la rápida expansión exponencial del universo en sus primeros momentos.,lạm phát vũ trụ,Lý thuyết lạm phát vũ trụ giải thích sự giãn nở theo cấp số nhân nhanh chóng của vũ trụ trong những khoảnh khắc đầu tiên.,การขยายตัวของจักรวาล,ทฤษฎีการขยายตัวของจักรวาลอธิบายการขยายตัวแบบเอกซ์โพเนนเชียลอย่างรวดเร็วของเอกภพในช่วงแรกสุด,inflasi kosmik,Teori inflasi kosmik menjelaskan ekspansi eksponensial cepat alam semesta pada momen-momen paling awalnya.
signifier,In Saussurean linguistics the signifier is the sound pattern or written form that represents a concept.,기표,소쉬르 언어학에서 기표는 개념을 나타내는 음성 패턴이나 문자 형태이다.,シニフィアン,ソシュール言語学においてシニフィアンは概念を表す音声パターンや文字形式である。,能指,在索绪尔语言学中，能指是代表概念的声音模式或书写形式。,significante,En la lingüística saussureana el significante es el patrón sonoro o forma escrita que representa un concepto.,cái biểu đạt,"Trong ngôn ngữ học Saussure, cái biểu đạt là mẫu âm thanh hoặc hình thức chữ viết đại diện cho một khái niệm.",ตัวหมาย,ในภาษาศาสตร์แบบโซซูร์ ตัวหมายคือรูปแบบเสียงหรือรูปแบบเขียนที่แทนแนวคิด,penanda,"Dalam linguistik Saussurian, penanda adalah pola bunyi atau bentuk tertulis yang merepresentasikan konsep."
signified,The signified is the mental concept evoked when one encounters a particular signifier.,기의,기의는 특정 기표를 접할 때 떠오르는 정신적 개념이다.,シニフィエ,シニフィエは特定のシニフィアンに出会ったときに喚起される精神的概念である。,所指,所指是遇到特定能指时唤起的心理概念。,significado,El significado es el concepto mental evocado cuando uno encuentra un significante particular.,cái được biểu đạt,Cái được biểu đạt là khái niệm tinh thần được gợi lên khi gặp một cái biểu đạt cụ thể.,ตัวถูกหมาย,ตัวถูกหมายคือแนวคิดทางจิตที่ถูกกระตุ้นเมื่อพบกับตัวหมายเฉพาะ,petanda,Petanda adalah konsep mental yang muncul ketika seseorang menemui penanda tertentu.
denotation,Denotation refers to the literal or primary meaning of a sign without cultural connotations.,외연,외연은 문화적 함축 없이 기호의 문자적 또는 일차적 의미를 가리킨다.,外示,外示は文化的含意を持たない記号の字義通りのまたは一次的な意味を指す。,外延,外延指的是符号没有文化内涵的字面或主要意义。,denotación,La denotación se refiere al significado literal o primario de un signo sin connotaciones culturales.,nghĩa biểu vật,Nghĩa biểu vật đề cập đến ý nghĩa theo nghĩa đen hoặc ý nghĩa chính của một ký hiệu mà không có hàm ý văn hóa.,ความหมายตรง,ความหมายตรงหมายถึงความหมายตามตัวอักษรหรือความหมายหลักของสัญญะโดยไม่มีนัยทางวัฒนธรรม,denotasi,Denotasi mengacu pada makna harfiah atau utama dari sebuah tanda tanpa konotasi budaya.
connotation,Connotation encompasses the cultural and emotional associations layered upon a sign's denotative meaning.,함축,함축은 기호의 외연적 의미 위에 층층이 쌓인 문화적 및 감정적 연상을 포함한다.,含意,含意は記号の外示的意味の上に重ねられた文化的・感情的連想を包含する。,内涵,内涵涵盖了叠加在符号外延意义之上的文化和情感联想。,connotación,La connotación abarca las asociaciones culturales y emocionales superpuestas al significado denotativo de un signo.,nghĩa liên tưởng,Nghĩa liên tưởng bao gồm các liên tưởng văn hóa và cảm xúc được xếp chồng lên nghĩa biểu vật của ký hiệu.,ความหมายแฝง,ความหมายแฝงครอบคลุมการเชื่อมโยงทางวัฒนธรรมและอารมณ์ที่ซ้อนทับบนความหมายตรงของสัญญะ,konotasi,Konotasi mencakup asosiasi budaya dan emosional yang berlapis di atas makna denotatif sebuah tanda.
semiotics,Semiotics is the systematic study of signs and symbols and their interpretation within cultural contexts.,기호학,기호학은 문화적 맥락 내에서 기호와 상징 및 그 해석에 대한 체계적 연구이다.,記号学,記号学は文化的文脈における記号とシンボルおよびその解釈の体系的研究である。,符号学,符号学是对文化语境中符号和象征及其解释的系统研究。,semiótica,La semiótica es el estudio sistemático de los signos y símbolos y su interpretación dentro de contextos culturales.,ký hiệu học,Ký hiệu học là nghiên cứu có hệ thống về các ký hiệu và biểu tượng cùng cách giải thích chúng trong bối cảnh văn hóa.,สัญศาสตร์,สัญศาสตร์คือการศึกษาอย่างเป็นระบบเกี่ยวกับสัญญะและสัญลักษณ์รวมถึงการตีความภายในบริบททางวัฒนธรรม,semiotika,Semiotika adalah studi sistematis tentang tanda dan simbol serta interpretasinya dalam konteks budaya.
indexical sign,Smoke serves as an indexical sign because it has a direct causal relationship with fire.,지표 기호,연기는 불과 직접적인 인과 관계를 가지고 있기 때문에 지표 기호로 기능한다.,指標記号,煙は火との直接的な因果関係があるため指標記号として機能する。,指示符号,烟是一种指示符号，因为它与火有直接的因果关系。,signo indexical,El humo sirve como signo indexical porque tiene una relación causal directa con el fuego.,ký hiệu chỉ mục,Khói đóng vai trò là ký hiệu chỉ mục vì nó có mối quan hệ nhân quả trực tiếp với lửa.,สัญญะดัชนี,ควันทำหน้าที่เป็นสัญญะดัชนีเพราะมีความสัมพันธ์เชิงสาเหตุโดยตรงกับไฟ,tanda indeksikal,Asap berfungsi sebagai tanda indeksikal karena memiliki hubungan kausal langsung dengan api.
iconic sign,A portrait photograph functions as an iconic sign by physically resembling its subject.,도상 기호,초상 사진은 대상을 물리적으로 닮음으로써 도상 기호로 기능한다.,類像記号,肖像写真は被写体に物理的に似ていることで類像記号として機能する。,肖似符号,肖像照片因与其对象在物理上相似而作为肖似符号发挥作用。,signo icónico,Una fotografía de retrato funciona como signo icónico al parecerse físicamente a su sujeto.,ký hiệu hình tượng,Một bức ảnh chân dung hoạt động như ký hiệu hình tượng bằng cách giống về mặt vật lý với đối tượng của nó.,สัญญะรูปเหมือน,ภาพถ่ายบุคคลทำหน้าที่เป็นสัญญะรูปเหมือนโดยมีลักษณะคล้ายกับตัวแบบทางกายภาพ,tanda ikonik,Foto potret berfungsi sebagai tanda ikonik dengan secara fisik menyerupai subjeknya.
symbolic sign,The color red operates as a symbolic sign whose meaning varies across different cultural systems.,상징 기호,빨간색은 서로 다른 문화 체계에서 의미가 달라지는 상징 기호로 작동한다.,象徴記号,赤色は異なる文化体系によって意味が変わる象徴記号として機能する。,象征符号,红色作为象征符号运作，其含义在不同文化系统中有所不同。,signo simbólico,El color rojo opera como un signo simbólico cuyo significado varía entre diferentes sistemas culturales.,ký hiệu biểu trưng,Màu đỏ hoạt động như một ký hiệu biểu trưng có ý nghĩa thay đổi qua các hệ thống văn hóa khác nhau.,สัญญะสัญลักษณ์,สีแดงทำหน้าที่เป็นสัญญะสัญลักษณ์ที่มีความหมายแตกต่างกันในระบบวัฒนธรรมต่างๆ,tanda simbolik,Warna merah beroperasi sebagai tanda simbolik yang maknanya bervariasi di berbagai sistem budaya.
polysemy,Polysemy occurs when a single sign carries multiple interrelated meanings within a semiotic system.,다의성,다의성은 하나의 기호가 기호 체계 내에서 여러 상호 관련된 의미를 가질 때 발생한다.,多義性,多義性は一つの記号が記号体系内で複数の相互に関連する意味を持つときに生じる。,多义性,多义性发生在一个符号在符号系统内承载多个相互关联的意义时。,polisemia,La polisemia ocurre cuando un solo signo lleva múltiples significados interrelacionados dentro de un sistema semiótico.,đa nghĩa,Đa nghĩa xảy ra khi một ký hiệu đơn lẻ mang nhiều ý nghĩa có liên quan với nhau trong một hệ thống ký hiệu.,พหุความหมาย,พหุความหมายเกิดขึ้นเมื่อสัญญะเดียวมีความหมายหลายอย่างที่เกี่ยวข้องกันภายในระบบสัญศาสตร์,polisemi,Polisemi terjadi ketika satu tanda membawa banyak makna yang saling terkait dalam sistem semiotik.
intertextuality,Intertextuality describes how the meaning of a text is shaped by its relationship to other texts.,상호텍스트성,상호텍스트성은 텍스트의 의미가 다른 텍스트와의 관계에 의해 형성되는 방식을 설명한다.,間テクスト性,間テクスト性はテクストの意味が他のテクストとの関係によってどのように形成されるかを記述する。,互文性,互文性描述了一个文本的意义如何受其与其他文本关系的影响而形成。,intertextualidad,La intertextualidad describe cómo el significado de un texto es moldeado por su relación con otros textos.,liên văn bản,Liên văn bản mô tả cách ý nghĩa của một văn bản được hình thành bởi mối quan hệ của nó với các văn bản khác.,สหบท,สหบทอธิบายว่าความหมายของตัวบทถูกหล่อหลอมโดยความสัมพันธ์กับตัวบทอื่นๆ อย่างไร,intertekstualitas,Intertekstualitas menggambarkan bagaimana makna sebuah teks dibentuk oleh hubungannya dengan teks-teks lain.
paradigmatic,A paradigmatic analysis examines the set of signs that could substitute for one another in a given context.,계열적,계열적 분석은 주어진 맥락에서 서로 대체할 수 있는 기호의 집합을 검토한다.,パラディグマティック,パラディグマティック分析は特定の文脈で互いに置換可能な記号の集合を検討する。,聚合关系的,聚合关系分析检查在给定语境中可以相互替换的符号集合。,paradigmático,Un análisis paradigmático examina el conjunto de signos que podrían sustituirse entre sí en un contexto dado.,hệ hình,Phân tích hệ hình xem xét tập hợp các ký hiệu có thể thay thế lẫn nhau trong một ngữ cảnh nhất định.,กระบวนทัศน์,การวิเคราะห์เชิงกระบวนทัศน์ตรวจสอบชุดของสัญญะที่สามารถทดแทนกันได้ในบริบทที่กำหนด,paradigmatik,Analisis paradigmatik memeriksa kumpulan tanda yang dapat saling menggantikan dalam konteks tertentu.
syntagmatic,Syntagmatic relations govern how signs combine sequentially to produce coherent meaning.,통합적,통합적 관계는 기호가 순차적으로 결합하여 일관된 의미를 생성하는 방식을 지배한다.,統合的,統合的関係は記号がどのように順次的に結合して一貫した意味を生み出すかを支配する。,组合关系的,组合关系支配符号如何按顺序组合以产生连贯的意义。,sintagmático,Las relaciones sintagmáticas gobiernan cómo los signos se combinan secuencialmente para producir significado coherente.,kết hợp,Quan hệ kết hợp chi phối cách các ký hiệu kết hợp tuần tự để tạo ra ý nghĩa mạch lạc.,วากยสัมพันธ์,ความสัมพันธ์เชิงวากยสัมพันธ์ควบคุมวิธีที่สัญญะรวมกันตามลำดับเพื่อสร้างความหมายที่สอดคล้อง,sintagmatik,Relasi sintagmatik mengatur bagaimana tanda-tanda bergabung secara berurutan untuk menghasilkan makna yang koheren.
metalanguage,A metalanguage is a language used to describe or analyze another language or semiotic system.,메타언어,메타언어는 다른 언어나 기호 체계를 기술하거나 분석하는 데 사용되는 언어이다.,メタ言語,メタ言語は別の言語や記号体系を記述または分析するために使用される言語である。,元语言,元语言是用来描述或分析另一种语言或符号系统的语言。,metalenguaje,Un metalenguaje es un lenguaje utilizado para describir o analizar otro lenguaje o sistema semiótico.,siêu ngôn ngữ,Siêu ngôn ngữ là ngôn ngữ được sử dụng để mô tả hoặc phân tích một ngôn ngữ hoặc hệ thống ký hiệu khác.,อภิภาษา,อภิภาษาคือภาษาที่ใช้ในการอธิบายหรือวิเคราะห์ภาษาหรือระบบสัญศาสตร์อื่น,metabahasa,Metabahasa adalah bahasa yang digunakan untuk mendeskripsikan atau menganalisis bahasa atau sistem semiotik lain.
discourse analysis,Discourse analysis investigates how language constructs social reality through patterns of communication.,담화 분석,담화 분석은 언어가 의사소통 패턴을 통해 사회적 현실을 구성하는 방식을 조사한다.,談話分析,談話分析は言語がコミュニケーションのパターンを通じてどのように社会的現実を構築するかを調査する。,话语分析,话语分析研究语言如何通过交流模式构建社会现实。,análisis del discurso,El análisis del discurso investiga cómo el lenguaje construye la realidad social a través de patrones de comunicación.,phân tích diễn ngôn,Phân tích diễn ngôn nghiên cứu cách ngôn ngữ xây dựng thực tại xã hội thông qua các mẫu giao tiếp.,การวิเคราะห์วาทกรรม,การวิเคราะห์วาทกรรมศึกษาว่าภาษาสร้างความเป็นจริงทางสังคมผ่านรูปแบบของการสื่อสารอย่างไร,analisis wacana,Analisis wacana menyelidiki bagaimana bahasa membangun realitas sosial melalui pola-pola komunikasi.
code-switching,Code-switching in semiotics refers to the alternation between different sign systems depending on context.,코드 전환,기호학에서 코드 전환은 맥락에 따라 서로 다른 기호 체계 사이를 교대하는 것을 말한다.,コード切り替え,記号学におけるコード切り替えは文脈に応じて異なる記号体系の間で交替することを指す。,语码转换,符号学中的语码转换指的是根据语境在不同符号系统之间的交替。,alternancia de código,La alternancia de código en semiótica se refiere a la alternación entre diferentes sistemas de signos según el contexto.,chuyển mã,Chuyển mã trong ký hiệu học đề cập đến sự luân phiên giữa các hệ thống ký hiệu khác nhau tùy theo ngữ cảnh.,การสลับรหัส,การสลับรหัสในสัญศาสตร์หมายถึงการสลับไปมาระหว่างระบบสัญญะที่แตกต่างกันขึ้นอยู่กับบริบท,alih kode,Alih kode dalam semiotika mengacu pada pergantian antara sistem tanda yang berbeda tergantung pada konteks.
binary opposition,Binary opposition structures meaning by establishing contrasting pairs such as nature versus culture.,이항대립,이항대립은 자연 대 문화와 같은 대조적인 쌍을 설정하여 의미를 구조화한다.,二項対立,二項対立は自然対文化のような対照的な対を設定することで意味を構造化する。,二元对立,二元对立通过建立如自然与文化等对比对来构建意义。,oposición binaria,La oposición binaria estructura el significado estableciendo pares contrastantes como naturaleza versus cultura.,đối lập nhị phân,Đối lập nhị phân cấu trúc ý nghĩa bằng cách thiết lập các cặp tương phản như tự nhiên đối lập với văn hóa.,คู่ตรงข้ามแบบทวิ,คู่ตรงข้ามแบบทวิจัดโครงสร้างความหมายโดยการสร้างคู่ที่ตัดกันเช่นธรรมชาติกับวัฒนธรรม,oposisi biner,Oposisi biner menyusun makna dengan menetapkan pasangan-pasangan yang kontras seperti alam versus budaya.
