english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example
fractional,Fractional ownership allows multiple investors to share high-value commercial real estate.,부분적인,분할 소유는 여러 투자자가 고가의 상업용 부동산을 공유할 수 있게 한다.,分数の,フラクショナルオーナーシップにより複数の投資家が高額商業不動産を共有できる。,部分的,分式产权允许多个投资者共享高价值商业房地产。,"fraccional, parcial",La propiedad fraccionada permite a varios inversores compartir bienes raíces comerciales de alto valor.
fraudulent,The investigation uncovered fraudulent accounting practices spanning over three fiscal years.,사기의,조사는 3개 회계 연도에 걸친 사기성 회계 관행을 밝혀냈다.,詐欺的な,調査は3会計年度にわたる不正な会計慣行を明らかにした。,欺诈性的,调查揭露了跨越三个财年的欺诈性会计行为。,"fraudulento, engañoso",La investigación descubrió prácticas contables fraudulentas que abarcaban más de tres ejercicios fiscales.
freehold,The company acquired freehold ownership of the downtown commercial property last month.,자유 보유권,회사는 지난달 도심 상업용 부동산의 완전 소유권을 취득했다.,自由保有権,会社は先月、都心の商業用不動産の自由保有権を取得した。,永久产权,公司上个月获得了市中心商业物业的永久产权。,"propiedad absoluta, pleno dominio",La empresa adquirió la plena propiedad del inmueble comercial del centro el mes pasado.
frivolous,The judge dismissed the lawsuit as frivolous and lacking legal merit entirely.,경솔한,판사는 소송을 경솔하고 법적 근거가 전혀 없다고 기각했다.,軽薄な,裁判官は訴訟を軽薄で法的根拠が全くないとして却下した。,轻率的,法官以诉讼轻率且完全缺乏法律依据为由驳回了该案。,"frívolo, sin fundamento",El juez desestimó la demanda por frívola y completamente carente de mérito legal.
fungible,Crude oil is considered a fungible commodity traded on global exchanges daily.,대체 가능한,원유는 세계 거래소에서 매일 거래되는 대체 가능한 상품으로 간주된다.,代替可能な,原油は世界の取引所で毎日取引される代替可能な商品とみなされる。,可替代的,原油被视为每天在全球交易所交易的可替代商品。,"fungible, intercambiable",El petróleo crudo es considerado un producto fungible que se negocia en bolsas globales a diario.
garnish,The court ordered the employer to garnish wages to satisfy the debt.,압류하다,법원은 채무를 변제하기 위해 고용주에게 급여 압류를 명령했다.,差し押さえる,裁判所は債務を弁済するために雇用主に賃金の差押えを命じた。,扣押,法院命令雇主扣押工资以偿还债务。,"embargar, retener",El tribunal ordenó al empleador embargar los salarios para satisfacer la deuda.
goodwill,The acquisition price included a significant premium for the brand's established goodwill.,영업권,인수 가격에는 브랜드의 확립된 영업권에 대한 상당한 프리미엄이 포함되었다.,のれん,買収価格にはブランドの確立されたのれんに対する大きなプレミアムが含まれていた。,商誉,收购价格包含了品牌已建立商誉的大额溢价。,"fondo de comercio, plusvalía",El precio de adquisición incluía una prima significativa por el fondo de comercio establecido de la marca.
gratuitous,The court ruled that the gratuitous promise was not legally enforceable.,무상의,법원은 무상의 약속이 법적으로 집행 가능하지 않다고 판결했다.,無償の,裁判所は無償の約束は法的に強制力がないと判決した。,无偿的,法院裁定无偿的承诺在法律上不具有执行力。,"gratuito, sin contraprestación",El tribunal determinó que la promesa gratuita no era legalmente exigible.
grievance,Employees may file a formal grievance through the human resources department channel.,고충,직원은 인사부 채널을 통해 공식적인 고충을 제기할 수 있다.,苦情,従業員は人事部のチャネルを通じて正式な苦情を申し立てることができる。,申诉,员工可以通过人力资源部门渠道提交正式申诉。,"queja, agravio",Los empleados pueden presentar una queja formal a través del canal del departamento de recursos humanos.
guarantor,The parent company acted as guarantor for the subsidiary's bank loan agreement.,보증인,모회사는 자회사의 은행 대출 계약에 대한 보증인 역할을 했다.,保証人,親会社は子会社の銀行融資契約の保証人を務めた。,担保人,母公司作为子公司银行贷款协议的担保人。,"garante, avalista",La empresa matriz actuó como garante del contrato de préstamo bancario de la subsidiaria.
hegemony,The corporation's market hegemony was challenged by several emerging technology startups.,패권,기업의 시장 지배력은 여러 신흥 기술 스타트업에 의해 도전받았다.,覇権,企業の市場覇権は新興テクノロジースタートアップによって挑戦された。,霸权,该公司的市场霸权受到了几家新兴科技创业公司的挑战。,"hegemonía, dominación",La hegemonía de mercado de la empresa fue desafiada por varias startups tecnológicas emergentes.
hereinafter,"The contracting company, hereinafter referred to as the Vendor, shall deliver goods.",이하,"계약 회사, 이하 '공급업체'라 칭함, 은 물품을 인도해야 한다.",以下,契約会社（以下「ベンダー」という）は商品を納品しなければならない。,以下,签约公司（以下简称'供应商'）应交付货物。,"en adelante, en lo sucesivo","La empresa contratante, denominada en adelante el Proveedor, deberá entregar los bienes."
holistic,The consultant recommended a holistic approach to organizational change and development.,총체적인,컨설턴트는 조직 변화와 발전에 대한 전체론적 접근법을 권장했다.,全体的な,コンサルタントは組織変革と開発への包括的なアプローチを推奨した。,整体的,顾问建议对组织变革和发展采取整体方法。,"holístico, integral",El consultor recomendó un enfoque holístico para el cambio y el desarrollo organizacional.
homogeneous,The market segment is relatively homogeneous in terms of consumer purchasing behavior.,동질적인,해당 시장 세그먼트는 소비자 구매 행동 면에서 비교적 동질적이다.,均質な,その市場セグメントは消費者の購買行動の点で比較的均質である。,同质的,该市场细分在消费者购买行为方面相对同质。,"homogéneo, uniforme",El segmento de mercado es relativamente homogéneo en términos de comportamiento de compra del consumidor.
hypothecate,The borrower agreed to hypothecate the commercial property as loan security.,저당 잡히다,차입자는 대출 담보로 상업용 부동산을 저당 잡히기로 동의했다.,抵当に入れる,借入者は融資の担保として商業用不動産を抵当に入れることに同意した。,抵押,借款人同意将商业物业抵押作为贷款担保。,"hipotecar, pignorar",El prestatario acordó hipotecar la propiedad comercial como garantía del préstamo.
illicit,The company was penalized for engaging in illicit trade practices across borders.,불법적인,회사는 국경을 넘는 불법 무역 관행에 관여한 것으로 처벌받았다.,不法な,会社は国境を越えた不正取引慣行に従事したとして罰則を受けた。,非法的,该公司因从事非法跨境贸易行为而受到处罚。,"ilícito, ilegal",La empresa fue sancionada por participar en prácticas comerciales ilícitas transfronterizas.
imminent,An imminent regulatory change could significantly affect the pharmaceutical industry profits.,임박한,임박한 규제 변화가 제약 산업의 수익에 상당한 영향을 미칠 수 있다.,差し迫った,差し迫った規制変更が製薬業界の利益に大きな影響を与える可能性がある。,即将发生的,即将到来的监管变化可能显著影响制药行业的利润。,"inminente, próximo",Un inminente cambio regulatorio podría afectar significativamente las ganancias de la industria farmacéutica.
immunity,The witness was granted legal immunity in exchange for testimony against executives.,면제,증인은 임원들에 대한 증언의 대가로 법적 면책을 부여받았다.,免除,証人は幹部に対する証言と引き換えに法的免責を付与された。,豁免,证人获得法律豁免以换取对高管的不利证词。,"inmunidad, exención",Al testigo se le concedió inmunidad legal a cambio de su testimonio contra los directivos.
impair,The accounting scandal could seriously impair investor confidence in the company.,손상시키다,회계 스캔들은 회사에 대한 투자자 신뢰를 심각하게 손상시킬 수 있다.,損なう,会計スキャンダルは会社に対する投資家の信頼を深刻に損なう可能性がある。,损害,会计丑闻可能严重损害投资者对公司的信心。,"deteriorar, perjudicar",El escándalo contable podría deteriorar gravemente la confianza de los inversores en la empresa.
impeach,Shareholders attempted to impeach the board chairman over financial mismanagement allegations.,탄핵하다,주주들은 재무 부실 경영 혐의로 이사회 의장을 탄핵하려 시도했다.,弾劾する,株主は財務の不正管理の疑いで取締役会長を弾劾しようとした。,弹劾,股东试图因财务管理不善的指控弹劾董事会主席。,"impugnar, destituir",Los accionistas intentaron impugnar al presidente de la junta por alegaciones de mala gestión financiera.
impetus,The new regulations provided the impetus for companies to adopt green technology.,자극,새 규정은 기업들이 친환경 기술을 도입하는 동력을 제공했다.,推進力,新しい規制は企業がグリーンテクノロジーを導入する原動力となった。,推动力,新法规为企业采用绿色技术提供了推动力。,"impulso, estímulo",Las nuevas regulaciones proporcionaron el impulso para que las empresas adoptaran la tecnología verde.
implicit,There was an implicit understanding that the contract would be renewed annually.,암묵적인,계약이 매년 갱신될 것이라는 암묵적인 이해가 있었다.,暗黙の,契約が毎年更新されるという暗黙の了解があった。,隐含的,存在一种隐含的理解，即合同将每年续签。,"implícito, tácito",Había un entendimiento implícito de que el contrato se renovaría anualmente.
importation,The importation of certain electronic components requires a special government license.,수입,특정 전자 부품의 수입에는 특별 정부 허가가 필요하다.,輸入,特定の電子部品の輸入には特別な政府の許可が必要である。,进口,进口某些电子元件需要特别的政府许可证。,importación,La importación de ciertos componentes electrónicos requiere una licencia gubernamental especial.
impound,The authorities decided to impound all documents related to the fraud case.,압류하다,당국은 사기 사건과 관련된 모든 문서를 압수하기로 결정했다.,差し押さえる,当局は詐欺事件に関連するすべての文書を押収することを決定した。,扣押,当局决定扣押与欺诈案相关的所有文件。,"incautar, embargar",Las autoridades decidieron incautar todos los documentos relacionados con el caso de fraude.
imputable,The financial losses are directly imputable to the manager's unauthorized investment decisions.,귀속 가능한,재정적 손실은 관리자의 무단 투자 결정에 직접적으로 귀속된다.,帰属可能な,財務上の損失はマネージャーの無許可の投資判断に直接帰責できる。,可归因的,经济损失可直接归咎于经理未经授权的投资决定。,"atribuible, imputable",Las pérdidas financieras son directamente imputables a las decisiones de inversión no autorizadas del gerente.
inadmissible,The judge ruled the evidence inadmissible because it was obtained illegally.,인정할 수 없는,판사는 불법적으로 취득된 증거가 법정에서 허용되지 않는다고 판결했다.,認められない,裁判官は違法に取得された証拠を不許可と判断した。,不可采纳的,法官裁定该证据不可采纳，因为它是非法获取的。,inadmisible,El juez declaró la evidencia inadmisible porque fue obtenida de manera ilegal.
inalienable,Every employee has an inalienable right to a safe working environment.,양도 불가능한,모든 직원은 안전한 근무 환경에 대한 양도할 수 없는 권리를 가진다.,譲渡不可能な,すべての従業員は安全な労働環境への不可譲の権利を有する。,不可剥夺的,每位员工都有不可剥夺的安全工作环境权利。,"inalienable, imprescriptible",Todo empleado tiene el derecho inalienable a un entorno de trabajo seguro.
incidental,Incidental expenses such as parking and meals must be documented for reimbursement.,부수적인,주차비와 식비 등 부수적 비용은 상환을 위해 기록해야 한다.,付随的な,駐車場代や食事代などの付随費用は払い戻しのために記録する必要がある。,附带的,停车费和餐费等附带费用必须记录以便报销。,"incidental, accesorio",Los gastos incidentales como el estacionamiento y las comidas deben documentarse para el reembolso.
incontrovertible,The forensic audit provided incontrovertible evidence of systematic financial fraud.,반박할 수 없는,법의학 감사는 체계적인 재정 사기에 대한 반박할 수 없는 증거를 제공했다.,反論の余地のない,法的監査は組織的な財務詐欺の議論の余地のない証拠を提供した。,无可辩驳的,法务审计提供了系统性财务欺诈的无可辩驳的证据。,"incontrovertible, irrefutable",La auditoría forense proporcionó evidencia incontrovertible de fraude financiero sistemático.
incorporate,The founders decided to incorporate the business as a limited liability company.,법인화하다,창립자들은 사업을 유한 책임 회사로 법인화하기로 결정했다.,法人化する,創業者たちは事業を有限責任会社として法人化することを決定した。,注册成立,创始人决定将企业注册为有限责任公司。,"incorporar, constituir legalmente",Los fundadores decidieron constituir la empresa como sociedad de responsabilidad limitada.
incur,The company will incur significant costs during the initial phase of expansion.,발생시키다,회사는 확장 초기 단계에서 상당한 비용을 부담하게 될 것이다.,発生させる,会社は拡張の初期段階で大きなコストを負担することになる。,招致,公司将在扩张初期阶段承担大量成本。,"incurrir, asumir",La empresa incurrirá en costos significativos durante la fase inicial de expansión.
indebtedness,The company's total indebtedness now exceeds its annual revenue by a wide margin.,부채,회사의 총 부채는 현재 연간 수익을 큰 폭으로 초과한다.,負債,会社の総負債は現在、年間収益を大幅に上回っている。,负债,公司的总负债目前大幅超过其年收入。,"endeudamiento, deuda total",El endeudamiento total de la empresa supera ahora en gran medida sus ingresos anuales.
indemnification,The contract includes an indemnification clause protecting against third-party liability claims.,배상,계약에는 제3자 책임 청구로부터 보호하는 배상 조항이 포함되어 있다.,補償,契約には第三者の賠償責任請求に対する補償条項が含まれている。,赔偿,合同包含一项保护免受第三方责任索赔的赔偿条款。,"indemnización, compensación",El contrato incluye una cláusula de indemnización que protege contra reclamaciones de terceros.
indictment,The grand jury returned an indictment against the former chief financial officer.,기소,대배심은 전 최고 재무 책임자에 대한 기소를 결정했다.,起訴,大陪審はかつての最高財務責任者に対する起訴を決定した。,起诉,大陪审团对前首席财务官提出了起诉。,"auto de acusación, escrito de cargos",El gran jurado dictó un auto de acusación contra el ex director financiero.
indigent,The legal aid program provides free representation to indigent defendants in court.,빈곤한,법률 구조 프로그램은 법정에서 빈곤한 피고인에게 무료 변호를 제공한다.,貧困な,法律扶助プログラムは法廷で貧困な被告に無料の弁護を提供する。,贫困的,法律援助计划为贫困被告提供免费的法庭代理。,"indigente, en situación de pobreza",El programa de asistencia jurídica proporciona representación gratuita a los acusados indigentes en los tribunales.
inequitable,The court found the distribution of partnership assets to be highly inequitable.,불공정한,법원은 파트너십 자산의 분배가 매우 불공평하다고 판단했다.,不公平な,裁判所はパートナーシップ資産の分配が非常に不公平であると判断した。,不公正的,法院认为合伙资产的分配极不公平。,"inequitativo, injusto",El tribunal determinó que la distribución de los activos de la sociedad era muy inequitativa.
influx,The influx of foreign investment boosted the local real estate market significantly.,유입,외국인 투자의 유입이 지역 부동산 시장을 크게 활성화했다.,流入,外国投資の流入が地元の不動産市場を大幅に活性化させた。,涌入,外国投资的涌入大大推动了当地房地产市场。,"afluencia, entrada",La afluencia de inversión extranjera impulsó significativamente el mercado inmobiliario local.
infrastructure,The government allocated billions to improve the nation's aging transportation infrastructure.,기반 시설,정부는 노후화된 교통 인프라를 개선하기 위해 수십억 달러를 배정했다.,インフラ,政府は老朽化した交通インフラの改善に数十億ドルを充当した。,基础设施,政府拨款数十亿美元改善国家老化的交通基础设施。,infraestructura,El gobierno asignó miles de millones para mejorar la envejecida infraestructura de transporte del país.
injunction,The court granted a temporary injunction halting the construction project immediately.,금지 명령,법원은 건설 프로젝트를 즉시 중단하는 임시 금지 명령을 내렸다.,差し止め命令,裁判所は建設プロジェクトを即座に停止する仮処分を認めた。,禁令,法院发出临时禁令立即叫停了该建设项目。,"orden perentoria, definitiva",El juez dictó una resolución perentoria que no podía ser apelada.
inordinate,The project suffered from inordinate delays caused by regulatory approval bottlenecks.,과도한,프로젝트는 규제 승인 병목으로 인한 과도한 지연을 겪었다.,過度な,プロジェクトは規制承認のボトルネックによる過度な遅延に悩まされた。,过度的,项目因监管审批瓶颈而遭受了过度延误。,"superficial, rutinario",La revisión superficial del presupuesto por parte de la junta generó preocupaciones entre los accionistas minoritarios.
insofar,The policy applies insofar as employees are working within company-owned facilities.,~하는 한,이 정책은 직원이 회사 소유 시설 내에서 근무하는 한 적용된다.,～する限り,このポリシーは従業員が会社所有の施設内で勤務している限り適用される。,在…范围内,该政策在员工在公司自有设施内工作的范围内适用。,"publicación periódica, revista especializada",La publicación periódica del sector publicó un análisis detallado de las ganancias trimestrales en todos los sectores.
instigate,The whistleblower helped instigate a full investigation into corporate accounting fraud.,선동하다,내부 고발자가 기업 회계 사기에 대한 전면 조사를 촉발하는 데 도움을 주었다.,扇動する,内部告発者が企業の会計不正に対する全面調査を促すのに役立った。,煽动,举报人帮助发起了对企业会计欺诈的全面调查。,"perjurio, falso testimonio",El testigo fue acusado de perjurio por proporcionar testimonio falso bajo juramento.
instrumentality,The government agency functions as an instrumentality of federal economic policy.,수단,정부 기관은 연방 경제 정책의 수단으로 기능한다.,手段,政府機関は連邦経済政策の手段として機能している。,手段,该政府机构作为联邦经济政策的工具发挥作用。,"permisible, permitido",Solo los gastos incluidos en el presupuesto aprobado son permisibles para reclamaciones de reembolso.
intangible,Brand reputation is an intangible asset that significantly impacts company valuation.,무형의,브랜드 평판은 회사 가치에 상당한 영향을 미치는 무형 자산이다.,無形の,ブランドの評判は企業価値に大きく影響する無形資産である。,无形的,品牌声誉是对公司估值有重大影响的无形资产。,"perpetuo, permanente",La fundación se estableció como un fideicomiso perpetuo para financiar programas educativos.
intercede,The trade representative agreed to intercede in the dispute between both nations.,중재하다,무역 대표는 양국 간 분쟁에 중재하기로 동의했다.,仲裁する,貿易代表は両国間の紛争に仲裁することに合意した。,调停,贸易代表同意在两国之间的争端中进行调解。,"pertinente, relevante",El auditor solicitó todos los documentos pertinentes relacionados con las transacciones del ejercicio fiscal.
interim,An interim CEO was appointed while the board searches for a permanent leader.,중간의,이사회가 상임 리더를 찾는 동안 임시 CEO가 임명되었다.,暫定の,取締役会が常任リーダーを探す間、暫定CEOが任命された。,临时的,在董事会寻找永久领导人期间任命了一名临时首席执行官。,"petición, solicitud",Los accionistas presentaron una petición para bloquear el paquete de compensación ejecutiva propuesto.
interlocutory,The judge issued an interlocutory order pending the final decision in court.,중간 판결의,판사는 법정의 최종 결정이 내려지기 전에 중간 명령을 내렸다.,中間判決の,裁判官は法廷での最終決定を待つ間、中間命令を出した。,中间裁定的,法官在法庭最终裁决前发出了临时命令。,"demandante, parte actora",El demandante busca daños compensatorios por incumplimiento del acuerdo de nivel de servicio.
interpolate,The analyst had to interpolate missing data points from the quarterly reports.,삽입하다,분석가는 분기 보고서에서 누락된 데이터 포인트를 보간해야 했다.,挿入する,アナリストは四半期報告書から欠落したデータポイントを補間する必要があった。,插值,分析师需要从季度报告中插值补充缺失的数据点。,"plenario, en pleno",Los delegados se reunieron en una sesión plenaria para debatir el presupuesto anual.
intervene,The central bank decided to intervene in the currency market to stabilize rates.,개입하다,중앙은행은 환율을 안정시키기 위해 외환 시장에 개입하기로 결정했다.,介入する,中央銀行は為替レートを安定させるために為替市場に介入することを決定した。,干预,央行决定干预货币市场以稳定汇率。,"plenipotenciario, con plenos poderes",Al embajador se le otorgó autoridad plenipotenciaria para negociar los términos del acuerdo comercial.
intestate,"When someone dies intestate, the court distributes assets according to state law.",무유언의,유언 없이 사망하면 법원이 주법에 따라 자산을 분배한다.,遺言なしの,無遺言で死亡した場合、裁判所が州法に従って資産を分配する。,无遗嘱的,当一个人无遗嘱死亡时，法院按照州法分配资产。,"pluralidad, mayoría relativa",Una pluralidad de accionistas votó a favor del aumento de dividendo propuesto.
inundate,The customer service department was inundated with complaints after the product recall.,범람시키다,제품 리콜 후 고객 서비스 부서에 불만이 쇄도했다.,殺到する,製品リコール後、カスタマーサービス部門に苦情が殺到した。,淹没,产品召回后客服部门被投诉淹没了。,"polarizar, dividir",El plan de reestructuración ha comenzado a polarizar las opiniones dentro del equipo directivo.
invalidate,A material misrepresentation could invalidate the entire insurance contract immediately.,무효화하다,중대한 허위 진술은 전체 보험 계약을 즉시 무효화할 수 있다.,無効にする,重大な不実表示は保険契約全体を即座に無効にする可能性がある。,使无效,重大虚假陈述可能立即使整个保险合同无效。,"ciudadanía, población",La decisión sobre las tasas de interés del banco central afecta directamente a toda la población del país.
inventory,The warehouse manager conducts a full inventory count at the end of each month.,재고,창고 관리자는 매월 말에 전체 재고 실사를 실시한다.,在庫,倉庫マネージャーは毎月末に全在庫の棚卸しを実施する。,库存,仓库经理在每月底进行全面库存盘点。,"posterior, ulterior",El análisis posterior de los datos confirmó las predicciones iniciales de la investigación de mercado.
invoke,The company may invoke the force majeure clause due to the natural disaster.,발동하다,회사는 자연 재해로 인해 불가항력 조항을 원용할 수 있다.,発動する,会社は自然災害により不可抗力条項を援用する可能性がある。,援引,公司可能因自然灾害援引不可抗力条款。,"postular, presuponer",La teoría económica postula que tasas de interés más bajas estimulan el endeudamiento y el gasto del consumidor.
irrevocable,The bank issued an irrevocable letter of credit to guarantee the payment.,취소 불가능한,은행은 지급을 보장하기 위해 취소 불능 신용장을 발행했다.,取消不能な,銀行は支払いを保証するために取消不能信用状を発行した。,不可撤销的,银行签发了不可撤销的信用证以保证付款。,"pragmático, práctico",La junta adoptó un enfoque pragmático para resolver el déficit presupuestario persistente.
issuance,The issuance of new corporate bonds raised over five hundred million dollars.,발행,새 회사채 발행으로 5억 달러 이상이 조달되었다.,発行,新しい社債の発行により5億ドル以上が調達された。,发行,新公司债券的发行筹集了超过五亿美元。,"preámbulo, prólogo",El preámbulo del contrato establece claramente el propósito del acuerdo.
itemize,Employees must itemize all business expenses on the monthly reimbursement form.,항목별로 기재하다,직원은 월간 상환 양식에 모든 사업 비용을 항목별로 기재해야 한다.,項目別にする,従業員は月次精算書にすべての業務費用を明細化しなければならない。,逐项列出,员工必须在月度报销单上逐项列出所有业务费用。,precedente,Esta sentencia judicial establece un importante precedente para futuros casos de propiedad intelectual.
itinerant,The company employs itinerant consultants who travel between regional office locations.,순회하는,회사는 지역 사무소를 순회하는 순회 컨설턴트를 고용하고 있다.,巡回する,会社は地域のオフィスを巡回する巡回コンサルタントを雇用している。,巡回的,公司雇用在各地区办事处之间巡回的流动顾问。,"precipitar, provocar",El cambio repentino de política podría precipitar una fuerte caída en la confianza de los inversores.
jeopardize,Failing to comply with regulations could jeopardize the company's operating license.,위험에 빠뜨리다,규정을 준수하지 않으면 회사의 영업 면허가 위태로워질 수 있다.,危険にさらす,規制を遵守しなければ会社の営業許可が危険にさらされる可能性がある。,危及,不遵守法规可能危及公司的经营许可证。,"impedir, excluir",La cláusula de no competencia impide a los empleados unirse a empresas rivales durante dos años.
joinder,The court approved the joinder of all related claims into a single proceeding.,병합,법원은 모든 관련 청구를 단일 절차로 병합하는 것을 승인했다.,併合,裁判所は関連するすべての請求を1つの手続きに併合することを承認した。,合并诉讼,法院批准将所有相关索赔合并为一项诉讼程序。,"anticiparse, preemptir",La empresa lanzó su producto antes para anticiparse a la entrada de la competencia en el mercado.
jurisprudence,The ruling established important jurisprudence for future corporate governance cases.,법학,그 판결은 미래의 기업 지배 구조 사건에 대한 중요한 판례를 확립했다.,法学,その判決は将来のコーポレートガバナンス事件に重要な法理を確立した。,法理学,该裁决为未来的公司治理案件确立了重要的法律先例。,"preferencial, privilegiado",Los clientes a largo plazo reciben tasas de interés preferenciales en todos los productos de préstamos comerciales.
larceny,The employee was charged with grand larceny for stealing company proprietary data.,절도,직원은 회사 독점 데이터를 절취한 혐의로 대절도죄로 기소되었다.,窃盗,従業員は会社の専有データを盗んだとして重窃盗罪で起訴された。,盗窃,该员工因窃取公司专有数据被控重大盗窃罪。,"perjudicar, comprometer",La información filtrada podría perjudicar el resultado de los procedimientos legales en curso.
latent,The due diligence process revealed latent risks in the target company's operations.,잠재적인,실사 과정에서 대상 회사의 운영에 잠재적 위험이 드러났다.,潜在的な,デューデリジェンスプロセスで対象会社の運営における潜在的リスクが明らかになった。,潜在的,尽职调查过程揭示了目标公司运营中的潜在风险。,"preliminar, previo",Los hallazgos preliminares indican posibles violaciones antimonopolio en el acuerdo de fusión propuesto.
laureate,The Nobel laureate economist spoke at the annual global finance conference.,수상자,노벨 수상 경제학자가 연례 글로벌 금융 컨퍼런스에서 연설했다.,受賞者,ノーベル賞受賞経済学者が年次グローバル金融カンファレンスで講演した。,获奖者,诺贝尔经济学奖获得者在年度全球金融会议上发表了演讲。,"prerrogativa, privilegio exclusivo",Establecer el presupuesto anual es la prerrogativa exclusiva del consejo de administración.
ledger,The accounting team updated the general ledger with all month-end transaction entries.,원장,회계팀은 모든 월말 거래 항목으로 총계정원장을 업데이트했다.,元帳,経理チームはすべての月末取引仕訳で総勘定元帳を更新した。,分类账,会计团队用所有月末交易分录更新了总分类账。,"prescribir, establecer",Las regulaciones federales prescriben los requisitos mínimos de capital para todas las instituciones bancarias comerciales.
lessee,The lessee is responsible for maintaining the commercial property during the lease term.,임차인,임차인은 임대 기간 동안 상업용 부동산을 유지 관리할 책임이 있다.,賃借人,賃借人はリース期間中、商業用不動産の維持管理に責任を負う。,承租人,承租人在租赁期间负责维护商业物业。,"presunción, suposición",La presunción legal de inocencia se aplica hasta que se demuestre la culpabilidad en el tribunal.
lessor,The lessor reserves the right to inspect the property with prior notice.,임대인,임대인은 사전 통지 후 부동산을 검사할 권리를 보유한다.,賃貸人,賃貸人は事前通知の上、不動産を検査する権利を留保する。,出租人,出租人保留在事先通知后检查房产的权利。,"prevalente, generalizado",Los acuerdos de trabajo remoto se han vuelto cada vez más prevalentes en la industria de servicios financieros.
levy,The government plans to levy a new tax on digital advertising revenues.,부과하다,정부는 디지털 광고 수익에 새로운 세금을 부과할 계획이다.,課す,政府はデジタル広告収入に新しい税を課す計画である。,征收,政府计划对数字广告收入征收新税。,"a primera vista, prima facie",La evidencia presentó un caso a primera vista de infracción de marca registrada contra la empresa.
liability,The company's total liability from the lawsuit could exceed ten million dollars.,부채,"소송으로 인한 회사의 총 책임은 1,000만 달러를 초과할 수 있다.",負債,"訴訟による会社の総負債は1,000万ドルを超える可能性がある。",负债,公司因诉讼产生的总责任可能超过一千万美元。,privatizar,El gobierno anunció planes para privatizar el operador nacional de telecomunicaciones el próximo año.
lien,The bank placed a lien on the property until the mortgage is fully paid.,유치권,은행은 모기지가 완전히 상환될 때까지 부동산에 유치권을 설정했다.,先取特権,銀行は住宅ローンが完済されるまで不動産に先取特権を設定した。,留置权,银行在抵押贷款全部偿还之前对该房产设置了留置权。,"verificación testamentaria, legalización del testamento",El patrimonio debe pasar por el proceso de verificación testamentaria antes de distribuir los activos a los herederos.
liquidation,The liquidation of company assets was necessary to repay outstanding creditor debts.,청산,채권자 미지급 채무를 상환하기 위해 회사 자산의 청산이 필요했다.,清算,債権者への未払い債務を返済するために会社資産の清算が必要であった。,清算,清算公司资产是偿还未清偿债权人债务所必需的。,"integridad, honestidad",La reputación de integridad del auditor la convirtió en la candidata ideal para el puesto.
lucrative,The consulting contract proved to be highly lucrative for the small firm.,수익성 있는,컨설팅 계약은 소규모 회사에 매우 수익성이 높은 것으로 입증되었다.,収益性の高い,コンサルティング契約は小規模企業にとって非常に収益性が高いことが判明した。,有利可图的,咨询合同对这家小公司来说利润极为丰厚。,"procesal, de procedimiento",Todos los empleados deben seguir las pautas procedimentales al presentar solicitudes de reembolso de gastos.
malfeasance,The audit uncovered malfeasance by senior management in financial reporting practices.,불법 행위,감사는 재무 보고 관행에서 고위 경영진의 불법 행위를 밝혀냈다.,不正行為,監査は財務報告慣行における上級管理職の不正行為を発見した。,渎职,审计揭露了高级管理层在财务报告中的渎职行为。,"ganancias, producto",Las ganancias de la venta de activos se utilizarán para pagar las deudas pendientes.
mandate,The regulatory mandate requires all banks to maintain minimum capital reserves.,명령,규제 명령은 모든 은행이 최소 자본 준비금을 유지할 것을 요구한다.,命令,規制上の命令はすべての銀行に最低資本準備金の維持を求めている。,授权,监管要求所有银行必须维持最低资本储备。,"tendencia, inclinación",La empresa tiene una inclinación hacia adquirir startups en el sector tecnológico.
manifest,The shipping manifest lists every item included in the international cargo shipment.,화물 목록,선적 목록은 국제 화물 선적에 포함된 모든 품목을 나열한다.,貨物明細書,船荷目録は国際貨物輸送に含まれるすべての品目を記載している。,舱单,货运清单列出了国际货物运输中包含的每一件物品。,"ofrecer, proponer",El abogado defensor decidió ofrecer un acuerdo de culpabilidad a la fiscalía.
marginal,The marginal cost of production decreases as the factory increases output volume.,한계의,생산의 한계 비용은 공장의 생산량이 증가함에 따라 감소한다.,限界の,生産の限界費用は工場の生産量が増加するにつれて減少する。,边际的,随着工厂产量增加，边际生产成本会降低。,"pronóstico, perspectiva",El pronóstico económico para la región se mantiene cautelosamente optimista hasta el próximo año.
markup,The retail markup on luxury goods typically ranges from fifty to seventy percent.,이익률,명품에 대한 소매 마진율은 일반적으로 50%에서 70% 사이이다.,利幅,高級品の小売マークアップは通常50%から70%の範囲である。,加价,奢侈品的零售加价通常在百分之五十到七十之间。,"prohibitivo, excesivo",El costo prohibitivo del cumplimiento dificulta la entrada al mercado para las pequeñas startups.
mediate,An independent third party was hired to mediate the labor contract dispute.,조정하다,독립적인 제3자가 노동 계약 분쟁을 중재하기 위해 고용되었다.,調停する,独立した第三者が労働契約紛争を調停するために雇われた。,调解,聘请了一个独立第三方来调解劳动合同纠纷。,"pagaré, letra",El prestatario firmó un pagaré acordando reembolsar el importe total del préstamo.
