english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
chicken,I ordered fried chicken for lunch.,닭; 치킨,점심으로 치킨을 주문했어요.,鶏肉,昼食にフライドチキンを注文しました。,鸡肉,我午饭点了炸鸡。,pollo,Pedí pollo frito para el almuerzo.,gà,Tôi gọi gà rán cho bữa trưa.,ไก่,ฉันสั่งไก่ทอดเป็นอาหารกลางวัน,ayam,Saya memesan ayam goreng untuk makan siang.
coffee,I need a cup of coffee now.,커피,지금 커피 한 잔이 필요해요.,コーヒー,今コーヒーが一杯必要です。,咖啡,我现在需要一杯咖啡。,café,Necesito una taza de café ahora.,cà phê,Tôi cần một tách cà phê ngay.,กาแฟ,ฉันต้องการกาแฟสักแก้วตอนนี้,kopi,Saya butuh secangkir kopi sekarang.
tea,She drinks green tea after meals.,차,그녀는 식후에 녹차를 마셔요.,お茶,彼女は食後に緑茶を飲みます。,茶,她饭后喝绿茶。,té,Ella bebe té verde después de las comidas.,trà,Cô ấy uống trà xanh sau bữa ăn.,ชา,เธอดื่มชาเขียวหลังอาหาร,teh,Dia minum teh hijau setelah makan.
sugar,Do you want sugar in your coffee?,설탕,커피에 설탕 넣을까요?,砂糖,コーヒーに砂糖を入れますか？,糖,你的咖啡要加糖吗？,azúcar,¿Quieres azúcar en tu café?,đường,Bạn có muốn cho đường vào cà phê không?,น้ำตาล,คุณต้องการน้ำตาลในกาแฟไหม?,gula,Apakah Anda mau gula di kopi Anda?
salt,This soup needs a little more salt.,소금,이 수프에 소금이 좀 더 필요해요.,塩,このスープにはもう少し塩が必要です。,盐,这汤需要再加点盐。,sal,Esta sopa necesita un poco más de sal.,muối,Súp này cần thêm chút muối.,เกลือ,ซุปนี้ต้องเติมเกลืออีกนิด,garam,Sup ini perlu sedikit garam lagi.
cake,She baked a chocolate cake for him.,케이크,그녀는 그를 위해 초콜릿 케이크를 구웠어요.,ケーキ,彼女は彼のためにチョコレートケーキを焼きました。,蛋糕,她为他烤了一个巧克力蛋糕。,pastel; torta,Ella le horneó un pastel de chocolate.,bánh,Cô ấy nướng bánh sô-cô-la cho anh ấy.,เค้ก,เธอทำเค้กช็อกโกแลตให้เขา,kue,Dia membuat kue cokelat untuknya.
soup,The hot soup warms me up.,수프; 국,뜨거운 수프가 몸을 따뜻하게 해줘요.,スープ,熱いスープが体を温めてくれます。,汤,热汤让我暖和起来。,sopa,La sopa caliente me calienta.,súp; canh,Tô súp nóng làm tôi ấm lên.,ซุป,ซุปร้อน ๆ ทำให้ฉันอบอุ่น,sup,Sup panas itu menghangatkan saya.
fruit,Eating fruit every day is healthy.,과일,매일 과일을 먹는 것은 건강해요.,果物,毎日果物を食べるのは健康的です。,水果,每天吃水果对身体好。,fruta,Comer fruta cada día es saludable.,trái cây; hoa quả,Ăn trái cây mỗi ngày rất tốt cho sức khỏe.,ผลไม้,การกินผลไม้ทุกวันดีต่อสุขภาพ,buah,Makan buah setiap hari itu sehat.
vegetable,Children should eat more vegetables daily.,채소,아이들은 매일 채소를 더 먹어야 해요.,野菜,子供は毎日もっと野菜を食べるべきです。,蔬菜,孩子们应该每天多吃蔬菜。,verdura; vegetal,Los niños deben comer más verduras cada día.,rau,Trẻ em nên ăn nhiều rau hơn.,ผัก,เด็ก ๆ ควรทานผักให้มากขึ้นทุกวัน,sayur; sayuran,Anak-anak harus makan lebih banyak sayuran setiap hari.
car,He drives his car to work.,자동차,그는 차를 운전해서 출근해요.,車,彼は車で仕事に行きます。,汽车,他开车去上班。,auto; carro; coche,Él conduce su auto al trabajo.,xe hơi; ô tô,Anh ấy lái ô tô đi làm.,รถยนต์,เขาขับรถยนต์ไปทำงาน,mobil,Dia mengendarai mobilnya ke tempat kerja.
bus,The bus comes every fifteen minutes.,버스,버스가 15분마다 와요.,バス,バスは15分ごとに来ます。,公交车,公交车每十五分钟来一班。,autobús,El autobús pasa cada quince minutos.,xe buýt,Xe buýt đến mỗi mười lăm phút.,รถบัส,รถบัสมาทุกสิบห้านาที,bis,Bus datang setiap lima belas menit.
train,The train arrives at nine o'clock.,기차,기차가 아홉 시에 도착해요.,電車,電車は9時に到着します。,火车,火车九点到达。,tren,El tren llega a las nueve.,tàu hỏa,Tàu đến lúc chín giờ.,รถไฟ,รถไฟมาถึงตอนเก้าโมง,kereta api,Kereta api tiba pukul sembilan.
plane,The plane will land in one hour.,비행기,비행기가 한 시간 후에 착륙해요.,飛行機,飛行機は1時間後に着陸します。,飞机,飞机一小时后降落。,avión,El avión aterrizará en una hora.,máy bay,Máy bay sẽ hạ cánh trong một giờ nữa.,เครื่องบิน,เครื่องบินจะลงจอดในอีกหนึ่งชั่วโมง,pesawat,Pesawat akan mendarat dalam satu jam.
bicycle,She rides her bicycle to school.,자전거,그녀는 자전거를 타고 학교에 가요.,自転車,彼女は自転車で学校に行きます。,自行车,她骑自行车去上学。,bicicleta,Ella va en bicicleta a la escuela.,xe đạp,Cô ấy đạp xe đến trường.,จักรยาน,เธอปั่นจักรยานไปโรงเรียน,sepeda,Dia mengendarai sepedanya ke sekolah.
ship,The big ship sailed across the ocean.,배,큰 배가 바다를 건너 항해했어요.,船,大きな船が海を渡りました。,船,大船驶过了海洋。,barco,El gran barco navegó por el océano.,tàu,Con tàu lớn đi qua đại dương.,เรือ,เรือลำใหญ่แล่นข้ามมหาสมุทร,kapal,Kapal besar itu berlayar melintasi samudra.
road,The road to the beach is long.,도로; 길,해변까지의 길이 멀어요.,道,ビーチまでの道は長いです。,路,去海边的路很长。,carretera; camino,El camino a la playa es largo.,đường,Con đường đến bãi biển rất dài.,ถนน,ถนนไปชายหาดยาวมาก,jalan,Jalan menuju pantai sangat panjang.
door,Someone is knocking on the door.,문,누군가 문을 두드리고 있어요.,ドア,誰かがドアをノックしています。,门,有人在敲门。,puerta,Alguien está tocando la puerta.,cửa,Có người đang gõ cửa.,ประตู,มีคนเคาะประตู,pintu,Seseorang sedang mengetuk pintu.
window,Open the window to get fresh air.,창문,환기를 위해 창문을 여세요.,窓,新鮮な空気を入れるために窓を開けてください。,窗户,打开窗户透透气。,ventana,Abre la ventana para que entre aire fresco.,cửa sổ,Mở cửa sổ cho thoáng.,หน้าต่าง,เปิดหน้าต่างเพื่อรับอากาศบริสุทธิ์,jendela,Buka jendela untuk mendapatkan udara segar.
room,This room is very clean and bright.,방,이 방은 매우 깨끗하고 밝아요.,部屋,この部屋はとてもきれいで明るいです。,房间,这个房间又干净又明亮。,habitación; cuarto,Esta habitación está muy limpia y luminosa.,phòng,Phòng này rất sạch và sáng.,ห้อง,ห้องนี้สะอาดและสว่างมาก,kamar; ruangan,Ruangan ini sangat bersih dan terang.
table,Put the plates on the table please.,테이블; 탁자,접시를 테이블 위에 놓아 주세요.,テーブル,お皿をテーブルの上に置いてください。,桌子,请把盘子放在桌子上。,mesa,"Por favor, pon los platos sobre la mesa.",bàn,Đặt đĩa lên bàn nhé.,โต๊ะ,วางจานบนโต๊ะด้วย,meja,Tolong taruh piring di atas meja.
chair,Please sit in this comfortable chair.,의자,이 편안한 의자에 앉으세요.,椅子,この快適な椅子に座ってください。,椅子,请坐在这把舒适的椅子上。,silla,"Por favor, siéntate en esta silla cómoda.",ghế,Xin hãy ngồi vào chiếc ghế thoải mái này.,เก้าอี้,กรุณานั่งบนเก้าอี้ตัวนี้ที่สบาย,kursi,Silakan duduk di kursi yang nyaman ini.
bed,I go to bed at ten o'clock.,침대,나는 열 시에 잠자리에 들어요.,ベッド,私は10時にベッドに入ります。,床,我十点上床睡觉。,cama,Me voy a la cama a las diez.,giường,Tôi đi ngủ lúc mười giờ.,เตียง,ฉันเข้านอนตอนสี่ทุ่ม,tempat tidur,Saya pergi tidur jam sepuluh.
phone,I forgot my phone at home today.,전화; 핸드폰,오늘 집에 핸드폰을 두고 왔어요.,電話,今日家に電話を忘れました。,电话; 手机,我今天把手机忘在家里了。,teléfono; celular,Hoy olvidé mi teléfono en casa.,điện thoại,Hôm nay tôi quên điện thoại ở nhà.,โทรศัพท์,วันนี้ฉันลืมโทรศัพท์ไว้ที่บ้าน,telepon; ponsel,Saya lupa ponsel di rumah hari ini.
money,I do not have enough money now.,돈,지금 돈이 충분하지 않아요.,お金,今お金が足りません。,钱,我现在没有足够的钱。,dinero,Ahora no tengo suficiente dinero.,tiền,Tôi không có đủ tiền bây giờ.,เงิน,ฉันไม่มีเงินพอตอนนี้,uang,Saya tidak punya cukup uang sekarang.
key,I lost my house key yesterday.,열쇠,어제 집 열쇠를 잃어버렸어요.,鍵,昨日家の鍵をなくしました。,钥匙,我昨天丢了家钥匙。,llave,Perdí la llave de mi casa ayer.,chìa khóa,Tôi đánh mất chìa khóa nhà hôm qua.,กุญแจ,ฉันทำกุญแจบ้านหายเมื่อวาน,kunci,Saya kehilangan kunci rumah kemarin.
bag,She put the book in her bag.,가방,그녀는 가방에 책을 넣었어요.,かばん,彼女はカバンに本を入れました。,包,她把书放进了包里。,bolso; maleta,Ella puso el libro en su bolso.,túi; cặp,Cô ấy bỏ sách vào túi.,กระเป๋า,เธอใส่หนังสือลงในกระเป๋า,tas,Dia memasukkan buku ke dalam tasnya.
shoe,These shoes are very comfortable to wear.,신발,이 신발은 신기 매우 편해요.,靴,この靴はとても履き心地が良いです。,鞋,这双鞋穿起来很舒服。,zapato,Estos zapatos son muy cómodos de usar.,giày,Đôi giày này rất thoải mái.,รองเท้า,รองเท้าคู่นี้ใส่สบายมาก,sepatu,Sepatu ini sangat nyaman dipakai.
shirt,He wore a blue shirt today.,셔츠,그는 오늘 파란 셔츠를 입었어요.,シャツ,彼は今日青いシャツを着ました。,衬衫,他今天穿了一件蓝衬衫。,camisa,Él llevó una camisa azul hoy.,áo sơ mi,Hôm nay anh ấy mặc áo sơ mi xanh.,เสื้อเชิ้ต,วันนี้เขาสวมเสื้อเชิ้ตสีน้ำเงิน,kemeja,Dia memakai kemeja biru hari ini.
hat,She wears a hat in the sun.,모자,그녀는 햇볕에 모자를 써요.,帽子,彼女は日差しの中で帽子をかぶります。,帽子,她在太阳下戴帽子。,sombrero,Ella usa sombrero cuando hay sol.,mũ,Cô ấy đội mũ khi đi nắng.,หมวก,เธอสวมหมวกกันแดด,topi,Dia memakai topi di bawah sinar matahari.
dress,She looks pretty in that new dress.,드레스; 원피스,그녀는 새 드레스를 입으니 예뻐요.,ドレス,彼女は新しいドレスを着てきれいです。,连衣裙,她穿那条新裙子很漂亮。,vestido,Ella se ve bonita con ese vestido nuevo.,váy,Cô ấy trông đẹp trong chiếc váy mới.,ชุดเดรส,เธอดูสวยในชุดเดรสใหม่,gaun,Dia terlihat cantik dengan gaun barunya.
pants,I need to buy new pants soon.,바지,곧 새 바지를 사야 해요.,ズボン,もうすぐ新しいズボンを買わないと。,裤子,我需要尽快买条新裤子。,pantalón,Necesito comprar un pantalón nuevo pronto.,quần,Tôi cần mua quần mới sớm.,กางเกง,ฉันต้องซื้อกางเกงใหม่เร็ว ๆ นี้,celana,Saya perlu membeli celana baru segera.
coat,"Wear a warm coat, it is cold.",코트; 외투,"따뜻한 코트를 입어요, 추워요.",コート,暖かいコートを着てください、寒いです。,外套,穿上暖和的外套，天冷了。,abrigo,"Ponte un abrigo abrigado, hace frío.",áo khoác,"Mặc áo khoác ấm, trời lạnh lắm.",เสื้อโค้ท,สวมเสื้อโค้ทอุ่น ๆ ข้างนอกหนาว,mantel; jaket,"Pakai mantel yang hangat, cuacanya dingin."
umbrella,"Take an umbrella, it will rain.",우산,"우산을 가져가요, 비가 올 거예요.",傘,傘を持って行ってください、雨が降ります。,雨伞,带把伞，要下雨了。,paraguas,"Lleva un paraguas, va a llover.",ô; dù,"Mang ô theo, trời sẽ mưa.",ร่ม,เอาร่มไปด้วย ฝนจะตก,payung,"Bawa payung, nanti akan hujan."
glasses,I cannot read without my glasses.,안경,안경 없이는 읽을 수 없어요.,眼鏡,眼鏡なしでは読めません。,眼镜,没有眼镜我看不了书。,gafas; lentes,No puedo leer sin mis gafas.,kính,Tôi không đọc được nếu không có kính.,แว่นตา,ฉันอ่านหนังสือไม่ได้ถ้าไม่มีแว่นตา,kacamata,Saya tidak bisa membaca tanpa kacamata.
clock,The clock on the wall shows noon.,시계,벽에 있는 시계가 정오를 가리켜요.,時計,壁の時計が正午を示しています。,钟,墙上的钟显示中午了。,reloj,El reloj en la pared marca el mediodía.,đồng hồ,Đồng hồ trên tường chỉ mười hai giờ.,นาฬิกา,นาฬิกาบนผนังบอกเวลาเที่ยง,jam,Jam di dinding menunjukkan pukul dua belas.
picture,She took a nice picture of us.,그림; 사진,그녀가 우리 사진을 잘 찍어줬어요.,絵; 写真,彼女は私たちの素敵な写真を撮りました。,图片; 画,她给我们拍了一张好看的照片。,imagen; foto; cuadro,Ella nos tomó una buena foto.,hình ảnh; bức ảnh,Cô ấy chụp một bức ảnh đẹp cho chúng tôi.,รูปภาพ,เธอถ่ายรูปสวย ๆ ให้เรา,gambar; foto,Dia mengambil foto yang bagus untuk kami.
camera,He bought a new camera for travel.,카메라,그는 여행을 위해 새 카메라를 샀어요.,カメラ,彼は旅行のために新しいカメラを買いました。,相机,他为旅行买了一台新相机。,cámara,Él compró una cámara nueva para el viaje.,máy ảnh,Anh ấy mua máy ảnh mới để đi du lịch.,กล้อง,เขาซื้อกล้องใหม่สำหรับเดินทาง,kamera,Dia membeli kamera baru untuk bepergian.
computer,I use a computer at work daily.,컴퓨터,나는 매일 직장에서 컴퓨터를 사용해요.,パソコン,私は毎日仕事でパソコンを使います。,电脑,我每天在工作中用电脑。,computadora,Uso una computadora en el trabajo a diario.,máy tính,Tôi dùng máy tính ở công ty mỗi ngày.,คอมพิวเตอร์,ฉันใช้คอมพิวเตอร์ที่ทำงานทุกวัน,komputer,Saya menggunakan komputer di tempat kerja setiap hari.
pen,May I borrow your pen please?,펜,펜 좀 빌려도 될까요?,ペン,ペンを借りてもいいですか？,笔,我可以借你的笔吗？,bolígrafo; pluma,¿Puedo prestarte tu bolígrafo?,bút,Cho tôi mượn bút được không?,ปากกา,ขอยืมปากกาหน่อยได้ไหม?,pena; pulpen,Bolehkah saya pinjam pena Anda?
paper,I need a piece of paper now.,종이,지금 종이 한 장이 필요해요.,紙,今紙が一枚必要です。,纸,我现在需要一张纸。,papel,Necesito una hoja de papel ahora.,giấy,Tôi cần một tờ giấy.,กระดาษ,ฉันต้องการกระดาษสักแผ่น,kertas,Saya butuh selembar kertas sekarang.
map,We used a map to find it.,지도,우리는 지도를 사용해서 찾았어요.,地図,私たちは地図を使ってそれを見つけました。,地图,我们用地图找到了那里。,mapa,Usamos un mapa para encontrarlo.,bản đồ,Chúng tôi dùng bản đồ để tìm đường.,แผนที่,เราใช้แผนที่เพื่อหาทาง,peta,Kami menggunakan peta untuk menemukannya.
light,"Turn on the light, it is dark.",빛; 전등,어두우니 불을 켜세요.,光; 電気,暗いので電気をつけてください。,灯,太暗了，把灯打开。,luz; lámpara,"Enciende la luz, está oscuro.",ánh sáng; đèn,"Bật đèn lên, trời tối rồi.",ไฟ; แสงสว่าง,เปิดไฟด้วย มืดแล้ว,lampu; cahaya,"Nyalakan lampu, sudah gelap."
dark,The room was very dark at night.,어두운,밤에 방이 매우 어두웠어요.,暗い,夜に部屋はとても暗かったです。,黑暗的,晚上房间非常暗。,oscuro,La habitación estaba muy oscura de noche.,tối,Phòng rất tối vào ban đêm.,มืด,ห้องมืดมากตอนกลางคืน,gelap,Ruangan itu sangat gelap di malam hari.
color,What color do you like the most?,색; 색깔,어떤 색을 가장 좋아해요?,色,何色が一番好きですか？,颜色,你最喜欢什么颜色？,color,¿Cuál es tu color favorito?,màu; màu sắc,Bạn thích màu nào nhất?,สี,คุณชอบสีอะไรมากที่สุด?,warna,Warna apa yang paling kamu suka?
pink,She loves the color pink so much.,분홍색의,그녀는 분홍색을 정말 좋아해요.,ピンクの,彼女はピンク色がとても好きです。,粉色的,她非常喜欢粉色。,rosa; rosado,A ella le encanta el color rosa.,hồng,Cô ấy rất thích màu hồng.,ชมพู; สีชมพู,เธอชอบสีชมพูมาก,merah muda,Dia sangat suka warna merah muda.
purple,The purple flowers smell very nice.,보라색의,보라색 꽃이 향기가 좋아요.,紫の,紫の花はとても良い香りがします。,紫色的,紫色的花闻起来很香。,morado; violeta,Las flores moradas huelen muy bien.,tím,Hoa tím có mùi rất thơm.,ม่วง; สีม่วง,ดอกไม้สีม่วงมีกลิ่นหอมมาก,ungu,Bunga ungu itu berbau sangat harum.
brown,The brown dog is very friendly.,갈색의,그 갈색 개는 매우 친근해요.,茶色の,茶色い犬はとてもフレンドリーです。,棕色的,那只棕色的狗很友好。,marrón; café,El perro marrón es muy amigable.,nâu,Con chó màu nâu rất thân thiện.,น้ำตาล; สีน้ำตาล,สุนัขสีน้ำตาลเป็นมิตรมาก,cokelat,Anjing cokelat itu sangat ramah.
gray,The sky is gray and cloudy today.,회색의,오늘 하늘이 회색이고 흐려요.,灰色の,今日の空は灰色で曇っています。,灰色的,今天天空灰蒙蒙的。,gris,El cielo está gris y nublado hoy.,xám,Hôm nay trời xám và nhiều mây.,เทา; สีเทา,วันนี้ท้องฟ้าสีเทาและมีเมฆมาก,abu-abu,Langit abu-abu dan berawan hari ini.
long,The line at the store was long.,긴,가게 줄이 길었어요.,長い,店の列は長かったです。,长的,商店排的队很长。,largo,La fila en la tienda era larga.,dài,Hàng chờ ở cửa hàng rất dài.,ยาว,คิวที่ร้านยาวมาก,panjang,Antrean di toko sangat panjang.
short,The movie was surprisingly very short.,짧은,영화가 놀랍게도 매우 짧았어요.,短い,映画は驚くほど短かったです。,短的,电影出人意料地很短。,corto,La película fue sorprendentemente muy corta.,ngắn,Bộ phim ngắn một cách bất ngờ.,สั้น,หนังสั้นอย่างน่าประหลาดใจ,pendek,Filmnya ternyata sangat pendek.
tall,My brother is very tall now.,키가 큰,내 형은 이제 키가 매우 커요.,背が高い,兄は今とても背が高いです。,高的,我哥哥现在非常高。,alto (estatura),Mi hermano es muy alto ahora.,cao,Anh trai tôi giờ rất cao.,สูง,พี่ชายฉันสูงมากแล้วตอนนี้,tinggi,Saudara laki-laki saya sudah sangat tinggi sekarang.
fast,The fast train goes to the city.,빠른,고속 열차가 도시로 가요.,速い,高速列車は都市へ行きます。,快的,快速列车开往城市。,rápido,El tren rápido va a la ciudad.,nhanh,Tàu tốc hành đi vào thành phố.,เร็ว,รถไฟเร็ววิ่งไปในเมือง,cepat,Kereta cepat menuju ke kota.
slow,The turtle is very slow but steady.,느린,거북이는 느리지만 꾸준해요.,遅い,亀はとても遅いですが着実です。,慢的,乌龟很慢但很稳。,lento,La tortuga es muy lenta pero constante.,chậm,Con rùa rất chậm nhưng kiên trì.,ช้า,เต่าช้ามากแต่สม่ำเสมอ,lambat; pelan,Kura-kura sangat lambat tapi stabil.
strong,He is strong enough to lift it.,강한; 힘센,그는 그것을 들 만큼 힘이 세요.,強い,彼はそれを持ち上げるのに十分強いです。,强壮的,他力气够大，能举起来。,fuerte; robusto,Él es lo suficientemente fuerte para levantarlo.,mạnh; khỏe,Anh ấy đủ khỏe để nâng nó.,แข็งแรง,เขาแข็งแรงพอที่จะยกมันได้,kuat,Dia cukup kuat untuk mengangkatnya.
weak,She felt weak after being sick.,약한,아픈 후에 몸이 약해졌어요.,弱い,病気の後、彼女は弱く感じました。,虚弱的,生病后她觉得很虚弱。,débil,Ella se sintió débil después de estar enferma.,yếu,Cô ấy cảm thấy yếu sau khi ốm.,อ่อนแอ,เธอรู้สึกอ่อนแอหลังจากป่วย,lemah,Dia merasa lemah setelah sakit.
dirty,The clothes are very dirty today.,더러운,옷이 매우 더러워요.,汚い,服はとても汚いです。,脏的,衣服很脏。,sucio,La ropa está muy sucia hoy.,bẩn,Hôm nay quần áo rất bẩn.,สกปรก,วันนี้เสื้อผ้าสกปรกมาก,kotor,Pakaiannya sangat kotor hari ini.
rich,He became rich from his hard work.,부자인,그는 열심히 일해서 부자가 됐어요.,お金持ちの,彼は一生懸命働いて裕福になりました。,富有的,他靠努力工作变得富有。,rico; adinerado,Se hizo rico gracias a su trabajo duro.,giàu,Anh ấy trở nên giàu nhờ làm việc chăm chỉ.,รวย,เขารวยขึ้นจากการทำงานหนัก,kaya,Dia menjadi kaya dari kerja kerasnya.
poor,The poor family needed help badly.,가난한,그 가난한 가족은 도움이 절실했어요.,貧しい,その貧しい家族はとても助けが必要でした。,贫穷的,那个贫困的家庭急需帮助。,pobre,La familia pobre necesitaba ayuda urgentemente.,nghèo,Gia đình nghèo đó cần sự giúp đỡ.,จน; ยากจน,ครอบครัวยากจนต้องการความช่วยเหลือมาก,miskin,Keluarga miskin itu sangat membutuhkan bantuan.
easy,This math problem is very easy.,쉬운,이 수학 문제는 매우 쉬워요.,簡単な,この数学の問題はとても簡単です。,容易的,这道数学题很简单。,fácil,Este problema de matemáticas es muy fácil.,dễ,Bài toán này rất dễ.,ง่าย,โจทย์คณิตศาสตร์ข้อนี้ง่ายมาก,mudah,Soal matematika ini sangat mudah.
difficult,The test was very difficult for me.,어려운,그 시험은 나에게 매우 어려웠어요.,難しい,そのテストは私にはとても難しかったです。,困难的,那个考试对我来说很难。,difícil,El examen fue muy difícil para mí.,khó,Bài kiểm tra rất khó đối với tôi.,ยาก,ข้อสอบยากมากสำหรับฉัน,sulit; susah,Ujian itu sangat sulit bagi saya.
beautiful,The sunset is really beautiful tonight.,아름다운,오늘 밤 일몰이 정말 아름다워요.,美しい,今夜の夕日は本当に美しいです。,美丽的,今晚的日落真的很美。,hermoso; bello,El atardecer es realmente hermoso esta noche.,đẹp,Hoàng hôn tối nay thật đẹp.,สวยงาม,พระอาทิตย์ตกคืนนี้สวยงามจริง ๆ,indah; cantik,Matahari terbenam sangat indah malam ini.
ugly,The old building looks very ugly.,못생긴; 추한,그 오래된 건물은 매우 못생겼어요.,醜い,その古い建物はとても醜く見えます。,丑的,那栋老建筑看起来很丑。,feo,El edificio viejo parece muy feo.,xấu xí,Tòa nhà cũ trông rất xấu.,น่าเกลียด,ตึกเก่าดูน่าเกลียดมาก,jelek; buruk rupa,Bangunan tua itu terlihat sangat jelek.
heavy,This box is too heavy for me.,무거운,이 상자는 나에게 너무 무거워요.,重い,この箱は私には重すぎます。,重的,这个箱子对我来说太重了。,pesado,Esta caja es demasiado pesada para mí.,nặng,Hộp này quá nặng đối với tôi.,หนัก,กล่องนี้หนักเกินไปสำหรับฉัน,berat,Kotak ini terlalu berat bagi saya.
young,She is young but very talented.,젊은,그녀는 어리지만 매우 재능이 있어요.,若い,彼女は若いですがとても才能があります。,年轻的,她年轻但非常有才华。,joven,Ella es joven pero muy talentosa.,trẻ,Cô ấy trẻ nhưng rất tài năng.,หนุ่มสาว; เยาว์,เธอยังเด็กแต่มีความสามารถมาก,muda,Dia masih muda tapi sangat berbakat.
kind,She is always kind to everyone.,친절한,그녀는 항상 모든 사람에게 친절해요.,優しい,彼女はいつも皆に親切です。,善良的,她总是对每个人都很友善。,amable; bondadoso,Ella siempre es amable con todos.,tốt bụng; tử tế,Cô ấy luôn tốt bụng với mọi người.,ใจดี,เธอใจดีกับทุกคนเสมอ,baik hati,Dia selalu baik hati kepada semua orang.
angry,He was angry about the broken window.,화난,그는 깨진 창문 때문에 화가 났어요.,怒った,彼は壊れた窓に怒っていました。,生气的,他因为窗户被打破而生气。,enojado; enfadado,Él estaba enojado por la ventana rota.,tức giận,Anh ấy tức giận vì cửa sổ bị vỡ.,โกรธ,เขาโกรธเรื่องหน้าต่างแตก,marah,Dia marah tentang jendela yang pecah.
tired,I am very tired after a long day.,피곤한,긴 하루 후에 매우 피곤해요.,疲れた,長い一日の後、とても疲れています。,累的,漫长的一天后我非常累。,cansado,Estoy muy cansado después de un día largo.,mệt,Tôi rất mệt sau một ngày dài.,เหนื่อย,ฉันเหนื่อยมากหลังจากวันที่ยาวนาน,lelah; capek,Saya sangat lelah setelah hari yang panjang.
hungry,The children are very hungry now.,배고픈,아이들이 지금 매우 배고파요.,お腹が空いた,子供たちは今とてもお腹が空いています。,饿的,孩子们现在非常饿。,hambriento,Los niños tienen mucha hambre ahora.,đói,Bọn trẻ đang rất đói.,หิว,เด็ก ๆ หิวมากตอนนี้,lapar,Anak-anak sangat lapar sekarang.
thirsty,I am thirsty after playing outside.,목마른,밖에서 놀고 나니 목이 말라요.,喉が渇いた,外で遊んだ後、喉が渇きました。,渴的,在外面玩完后我口渴了。,sediento,Tengo sed después de jugar afuera.,khát,Tôi khát sau khi chơi ngoài trời.,กระหายน้ำ,ฉันกระหายน้ำหลังเล่นข้างนอก,haus,Saya haus setelah bermain di luar.
sick,He stayed home because he was sick.,아픈,그는 아파서 집에 있었어요.,病気の,彼は病気なので家にいました。,生病的,他因为生病待在家里。,enfermo,Él se quedó en casa porque estaba enfermo.,ốm; bệnh,Anh ấy ở nhà vì bị ốm.,ป่วย,เขาอยู่บ้านเพราะป่วย,sakit,Dia tinggal di rumah karena sakit.
healthy,Eating well helps you stay healthy.,건강한,잘 먹으면 건강을 유지할 수 있어요.,健康な,よく食べることは健康を保つのに役立ちます。,健康的,吃得好有助于保持健康。,sano; saludable,Comer bien te ayuda a mantenerte saludable.,khỏe mạnh,Ăn uống tốt giúp bạn khỏe mạnh.,สุขภาพดี,การกินอาหารดี ๆ ช่วยให้คุณสุขภาพดี,sehat,Makan dengan baik membantu Anda tetap sehat.
busy,She is very busy with her work.,바쁜,그녀는 일 때문에 매우 바빠요.,忙しい,彼女は仕事でとても忙しいです。,忙的,她工作非常忙。,ocupado,Ella está muy ocupada con su trabajo.,bận,Cô ấy rất bận với công việc.,ยุ่ง,เธอยุ่งมากกับงาน,sibuk,Dia sangat sibuk dengan pekerjaannya.
free,Are you free this Saturday afternoon?,한가한; 자유로운,이번 토요일 오후에 시간 있어요?,暇な,今週の土曜日の午後は暇ですか？,空闲的,这个星期六下午你有空吗？,libre; disponible,¿Estás libre este sábado por la tarde?,rảnh; miễn phí,Chiều thứ Bảy này bạn rảnh không?,ว่าง; ฟรี,คุณว่างบ่ายวันเสาร์นี้ไหม?,bebas; gratis,Apakah kamu bebas Sabtu sore ini?
right,"You are right, that is the answer.",맞는; 오른쪽,"맞아요, 그것이 정답이에요.",正しい; 右,あなたは正しいです、それが答えです。,正确的; 右边,你说得对，那就是答案。,correcto; derecho,"Tienes razón, esa es la respuesta.",đúng; phải,"Bạn đúng rồi, đó là câu trả lời.",ถูกต้อง,คุณถูกต้อง นั่นคือคำตอบ,benar; tepat,"Kamu benar, itu jawabannya."
wrong,"Sorry, I gave you the wrong number.",잘못된,"죄송해요, 잘못된 번호를 드렸어요.",間違った,すみません、間違った番号を渡しました。,错误的,对不起，我给错了号码。,incorrecto; equivocado,"Lo siento, te di el número equivocado.",sai,"Xin lỗi, tôi đưa nhầm số cho bạn.",ผิด,ขอโทษ ฉันให้เบอร์ผิดคุณ,salah,"Maaf, saya memberi Anda nomor yang salah."
same,We are wearing the same color shirt.,같은,우리는 같은 색 셔츠를 입고 있어요.,同じ,私たちは同じ色のシャツを着ています。,相同的,我们穿着同色的衬衫。,mismo; igual,Llevamos la misma camisa de color.,giống nhau,Chúng tôi mặc áo cùng màu.,เหมือนกัน,เราสวมเสื้อสีเดียวกัน,sama,Kami memakai kemeja warna yang sama.
different,Each student has a different answer.,다른,각 학생은 다른 답을 가지고 있어요.,違う,各生徒は異なる答えを持っています。,不同的,每个学生的答案都不一样。,diferente; distinto,Cada estudiante tiene una respuesta diferente.,khác nhau,Mỗi học sinh có câu trả lời khác nhau.,แตกต่าง,นักเรียนแต่ละคนมีคำตอบที่แตกต่างกัน,berbeda,Setiap siswa memiliki jawaban yang berbeda.
