"english","example","ko_meaning","ko_example","ja_meaning","ja_example","zh_meaning","zh_example"
"prototype","The engineering team unveiled the prototype at the annual technology conference.","시제품","엔지니어링 팀은 연례 기술 컨퍼런스에서 시제품을 공개했다.","試作品","エンジニアリングチームは年次テクノロジーカンファレンスで試作品を公開した。","原型","工程团队在年度技术大会上展示了原型。"
"proviso","The contract was accepted with the proviso that delivery deadlines be guaranteed.","단서","계약은 배송 기한이 보장되어야 한다는 단서로 수락되었다.","条件","契約は納期が保証されるという条件付きで承認された。","附带条件","合同在保证交货期限的附带条件下被接受。"
"prowess","Her analytical prowess made her the top consultant in the advisory firm.","능력","그녀의 분석 능력은 그녀를 자문 회사에서 최고의 컨설턴트로 만들었다.","能力","彼女の分析力がアドバイザリー企業でトップコンサルタントにした。","能力","她的分析能力使她成为咨询公司的顶级顾问。"
"prudent","It would be prudent to diversify investments across multiple asset classes.","신중한","여러 자산 유형에 투자를 분산하는 것이 신중할 것이다.","慎重な","複数の資産クラスに投資を分散させることは慎重だろう。","审慎的","在多个资产类别之间分散投资是审慎的做法。"
"punitive","The regulatory body imposed punitive fines for the environmental violations.","징벌적인","규제 기관은 환경 위반에 대해 징벌적 벌금을 부과했다.","懲罰的な","規制機関は環境違反に対して懲罰的な罰金を科した。","惩罚性的","监管机构对环境违规行为处以了惩罚性罚款。"
"quandary","The ethical quandary forced the board to seek external legal counsel.","딜레마","윤리적 딜레마가 이사회로 하여금 외부 법률 자문을 구하게 했다.","難問","倫理的な難問が取締役会に外部法律顧問を求めさせた。","困境","伦理困境迫使董事会寻求外部法律顾问。"
"quantify","The marketing team struggled to quantify the return on brand awareness campaigns.","수량화하다","마케팅 팀은 브랜드 인지도 캠페인의 수익을 수량화하는 데 어려움을 겪었다.","定量化する","マーケティングチームはブランド認知度キャンペーンのリターンを定量化するのに苦労した。","量化","营销团队难以量化品牌知名度活动的回报。"
"quarantine","All imported goods must pass a quarantine inspection before market distribution.","격리","모든 수입품은 시장 유통 전에 격리 검사를 통과해야 한다.","検疫","全ての輸入品は市場流通前に検疫検査を通過しなければならない。","检疫","所有进口商品在进入市场流通之前必须通过检疫检查。"
"quintessential","She is the quintessential example of a successful modern entrepreneur.","전형적인","그녀는 성공적인 현대 기업가의 전형적인 예이다.","典型的な","彼女は成功した現代の起業家の典型的な例だ。","典型的","她是成功的现代企业家的典型范例。"
"ramification","The legal ramifications of the decision could affect the company for years.","파급 효과","결정의 법적 파급 효과는 수년간 회사에 영향을 미칠 수 있다.","影響","その決定の法的影響は会社に何年も影響を与える可能性がある。","后果","该决定的法律后果可能会影响公司数年。"
"ratify","All member nations must ratify the agreement before it takes legal effect.","비준하다","모든 회원국이 법적 효력이 발생하기 전에 협정을 비준해야 한다.","批准する","全加盟国は法的効力が発生する前に協定を批准しなければならない。","批准","所有成员国必须在协议生效之前批准该协议。"
"rationale","The CEO outlined the rationale behind the decision to restructure operations.","근거","CEO는 운영 구조조정 결정의 근거를 설명했다.","根拠","CEOは事業再編の決定の根拠を説明した。","理由","CEO阐述了重组运营决策背后的理由。"
"rebuke","The chairman publicly rebuked the executive for the unauthorized press statement.","질책하다","회장은 무단 보도자료에 대해 경영진을 공개적으로 질책했다.","叱責する","会長は無断のプレス声明に対して幹部を公に叱責した。","斥责","董事长公开斥责了该高管未经授权的新闻声明。"
"recalcitrant","The recalcitrant board member refused to support the proposed merger plan.","반항적인","반항적인 이사회 구성원이 제안된 합병 계획을 지지하기를 거부했다.","反抗的な","反抗的な取締役は提案された合併計画の支持を拒否した。","顽固的","顽固的董事会成员拒绝支持拟议的合并计划。"
"reconcile","The accounting team worked overtime to reconcile the financial discrepancies.","조정하다","회계 팀은 재무 불일치를 조정하기 위해 초과 근무를 했다.","調整する","経理チームは財務上の不一致を調整するために残業した。","调和","会计团队加班调和财务差异。"
"recoup","The company expects to recoup its initial investment within eighteen months.","회수하다","회사는 18개월 이내에 초기 투자를 회수할 것으로 기대한다.","回収する","会社は18ヶ月以内に初期投資を回収することを期待している。","收回","公司预计在十八个月内收回初始投资。"
"rectify","The engineering team was dispatched to rectify the manufacturing defect immediately.","시정하다","엔지니어링 팀은 제조 결함을 즉시 시정하기 위해 파견되었다.","是正する","エンジニアリングチームは製造上の欠陥を直ちに是正するために派遣された。","纠正","工程团队被派去立即纠正制造缺陷。"
"redundant","The automation project rendered several administrative positions redundant.","중복된","자동화 프로젝트로 인해 여러 행정직이 중복되었다.","冗長な","自動化プロジェクトにより複数の管理職が冗長になった。","冗余的","自动化项目使几个行政岗位变得冗余。"
"refurbish","The company invested heavily to refurbish its aging office headquarters building.","개보수하다","회사는 노후화된 본사 건물을 개보수하기 위해 많은 투자를 했다.","改装する","会社は老朽化した本社ビルを改装するために多額の投資をした。","翻新","公司大量投资翻新其老化的办公总部大楼。"
"refute","The company released data to refute the allegations made by competitors.","반박하다","회사는 경쟁사의 주장을 반박하기 위해 데이터를 공개했다.","反論する","会社は競合他社の主張を反論するためにデータを公開した。","反驳","公司发布数据以反驳竞争对手的指控。"
"relegate","Poor performance could relegate the division to a lower priority status.","강등시키다","저조한 성과는 부서를 낮은 우선순위로 강등시킬 수 있다.","格下げする","業績不振により部門がより低い優先順位に格下げされる可能性がある。","降级","糟糕的表现可能将该部门降级为较低的优先级。"
"relinquish","The founder agreed to relinquish control to the newly appointed CEO.","포기하다","설립자는 새로 임명된 CEO에게 지배권을 포기하기로 동의했다.","放棄する","創設者は新しく任命されたCEOに支配権を放棄することに同意した。","放弃","创始人同意将控制权放弃给新任命的CEO。"
"reluctant","Many established firms are reluctant to adopt disruptive new technologies.","꺼리는","많은 기존 기업들은 파괴적인 신기술을 채택하는 것을 꺼린다.","消極的な","多くの既存企業は破壊的な新技術の採用に消極的だ。","不情愿的","许多老牌公司不情愿采用颠覆性的新技术。"
"reminiscent","The company's decline is reminiscent of similar failures in the tech bubble.","연상시키는","회사의 쇠퇴는 기술 버블 시절의 유사한 실패를 연상시킨다.","連想させる","会社の衰退はテックバブル時代の同様の失敗を連想させる。","令人想起的","公司的衰落令人想起科技泡沫中的类似失败。"
"remuneration","The remuneration package includes base salary, bonuses, and stock options.","보수","보수 패키지에는 기본 급여, 보너스 및 스톡 옵션이 포함된다.","報酬","報酬パッケージには基本給、ボーナス、ストックオプションが含まれる。","报酬","报酬方案包括基本工资、奖金和股票期权。"
"renovate","The firm allocated substantial funds to renovate the downtown office complex.","개조하다","회사는 시내 사무실 단지를 개조하기 위해 상당한 자금을 배정했다.","改修する","企業はダウンタウンのオフィスコンプレックスを改修するために相当な資金を割り当てた。","改造","公司拨出大量资金来改造市中心的办公楼群。"
"repeal","Consumer advocacy groups lobbied the government to repeal the restrictive legislation.","폐지하다","소비자 권익 단체들은 정부에 제한적인 법률을 폐지하도록 로비했다.","撤廃する","消費者権利団体は制限的な法律の撤廃を政府に働きかけた。","废除","消费者权益团体游说政府废除限制性立法。"
"repercussion","The sudden policy change had widespread repercussions throughout the entire industry.","반향","갑작스러운 정책 변경은 전체 산업 전반에 광범위한 반향을 일으켰다.","反響","突然の方針変更は業界全体に広範な反響をもたらした。","反响","突然的政策变化在整个行业产生了广泛的反响。"
"replenish","The warehouse needs to replenish stock before the holiday shopping season begins.","보충하다","창고는 연휴 쇼핑 시즌이 시작되기 전에 재고를 보충해야 한다.","補充する","倉庫はホリデーショッピングシーズンが始まる前に在庫を補充する必要がある。","补充","仓库需要在假日购物季开始前补充库存。"
"reprehensible","The committee unanimously condemned the executive's reprehensible ethical violations.","비난받을 만한","위원회는 만장일치로 경영진의 비난받을 만한 윤리 위반을 규탄했다.","非難すべき","委員会は全会一致で幹部の非難すべき倫理違反を非難した。","应受谴责的","委员会一致谴责了该高管应受谴责的道德违规行为。"
"reprimand","The employee received a formal reprimand for violating the company's code of conduct.","징계","직원은 회사 행동 강령 위반으로 공식 징계를 받았다.","叱責","従業員は会社の行動規範違反で正式な叱責を受けた。","训斥","该员工因违反公司行为准则而受到正式训斥。"
"repudiate","The board voted to repudiate the claims made by the disgruntled former employee.","부인하다","이사회는 불만을 가진 전 직원의 주장을 부인하기로 투표했다.","否認する","取締役会は不満を持つ元従業員の主張を否認する投票を行った。","否认","董事会投票否认了心怀不满的前雇员提出的索赔。"
"requisite","Prior experience in financial analysis is a requisite for the senior role.","필수의","재무 분석 경험은 고위 직책의 필수 사항이다.","必要な","財務分析の経験はシニアの役割に必要だ。","必需的","财务分析方面的经验是担任高级职位的必需条件。"
"rescind","The board voted to rescind the controversial policy effective immediately.","철회하다","이사회는 논란이 많은 정책을 즉시 철회하기로 투표했다.","撤回する","取締役会は物議を醸す方針を直ちに撤回する投票を行った。","撤销","董事会投票决定立即撤销有争议的政策。"
"resilient","The company proved to be remarkably resilient during the prolonged economic downturn.","회복력 있는","회사는 장기 경제 침체 동안 놀라울 정도로 회복력이 있었다.","回復力のある","会社は長期的な景気後退の間に驚くほどの回復力を示した。","有韧性的","该公司在长期经济低迷期间表现出了非凡的韧性。"
"resolute","The CEO remained resolute in her commitment to the five-year growth plan.","단호한","CEO는 5개년 성장 계획에 대한 헌신에 단호했다.","断固たる","CEOは5カ年成長計画へのコミットメントに断固として揺るがなかった。","坚定的","CEO对五年增长计划的承诺保持坚定。"
"resonate","The company's sustainability message resonated strongly with younger consumers.","공감을 얻다","회사의 지속 가능성 메시지가 젊은 소비자들에게 강하게 공감을 얻었다.","共感を呼ぶ","会社の持続可能性メッセージは若い消費者に強く共感を呼んだ。","引起共鸣","公司的可持续发展信息在年轻消费者中引起了强烈共鸣。"
"restitution","The court ordered the company to pay full restitution to affected customers.","배상","법원은 회사에 피해 고객에게 전액 배상을 명령했다.","賠償","裁判所は会社に影響を受けた顧客への全額賠償を命じた。","赔偿","法院命令公司向受影响的客户支付全额赔偿。"
"restrain","The board tried to restrain the CEO from making any premature announcements.","억제하다","이사회는 CEO가 섣부른 발표를 하지 못하도록 억제하려 했다.","抑制する","取締役会はCEOが早まった発表をしないよう抑制しようとした。","制止","董事会试图制止CEO做出任何过早的公告。"
"retaliate","The competitor threatened to retaliate with aggressive pricing in key markets.","보복하다","경쟁사는 주요 시장에서 공격적인 가격으로 보복하겠다고 위협했다.","報復する","競合他社は主要市場で攻撃的な価格設定で報復すると脅した。","报复","竞争对手威胁要在主要市场以激进的定价进行报复。"
"retention","Improving employee retention has become a strategic priority for the company.","유지","직원 유지를 개선하는 것이 회사의 전략적 우선순위가 되었다.","維持","従業員の維持向上が会社の戦略的優先事項となっている。","留任","提高员工留任率已成为公司的战略优先事项。"
"retract","The newspaper was forced to retract the inaccurate report about the merger.","철회하다","신문은 합병에 대한 부정확한 보도를 철회해야 했다.","撤回する","新聞は合併に関する不正確な報道を撤回せざるを得なかった。","撤回","报纸被迫撤回关于合并的不准确报道。"
"retroactive","The salary increase was made retroactive to the beginning of the fiscal year.","소급 적용의","급여 인상은 회계연도 초로 소급 적용되었다.","遡及的な","給与の引き上げは会計年度の初めに遡及的に適用された。","追溯的","加薪被追溯至财政年度初。"
"revamp","The company plans to revamp its customer service operations by next quarter.","개편하다","회사는 다음 분기까지 고객 서비스 운영을 개편할 계획이다.","刷新する","会社は来四半期までにカスタマーサービスの運営を刷新する計画だ。","改革","公司计划在下个季度前改革其客户服务运营。"
"revoke","The licensing authority may revoke permits for non-compliance with safety standards.","취소하다","인허가 기관은 안전 기준 미준수 시 허가를 취소할 수 있다.","取り消す","許認可当局は安全基準の不遵守に対して許可を取り消す場合がある。","吊销","许可机构可能会因不遵守安全标准而吊销许可证。"
"rhetoric","The politician's rhetoric about economic reform impressed the business community.","수사","경제 개혁에 대한 정치인의 수사가 비즈니스 커뮤니티에 깊은 인상을 주었다.","修辞","経済改革に関する政治家の修辞がビジネス界に深い印象を与えた。","修辞","这位政治家关于经济改革的修辞给商界留下了深刻印象。"
"rigorous","All products undergo rigorous testing before being released to the market.","엄격한","모든 제품은 시장에 출시되기 전에 엄격한 테스트를 거친다.","厳格な","全ての製品は市場に出される前に厳格なテストを受ける。","严格的","所有产品在投放市场前都要经过严格的测试。"
"robust","The company reported robust earnings driven by strong international sales.","강력한","회사는 강한 해외 매출에 힘입어 강력한 수익을 보고했다.","堅調な","会社は好調な海外売上に後押しされた堅調な収益を報告した。","强劲的","公司报告了由强劲的国际销售推动的强劲收益。"
"rudimentary","Even a rudimentary understanding of finance is valuable in business settings.","기초적인","재무에 대한 기초적인 이해도 비즈니스 환경에서 가치가 있다.","初歩的な","財務の初歩的な理解でもビジネス環境では価値がある。","基本的","即使是对财务的基本理解在商业环境中也是有价值的。"
"ruminate","The board took time to ruminate on the implications of the proposed merger.","숙고하다","이사회는 제안된 합병의 의미를 숙고하는 데 시간을 들였다.","熟考する","取締役会は提案された合併の含意を熟考する時間を取った。","沉思","董事会花时间沉思拟议合并的影响。"
"sagacious","The sagacious investor diversified her portfolio well before the market crash.","현명한","현명한 투자자는 시장 붕괴 훨씬 전에 포트폴리오를 다각화했다.","賢明な","賢明な投資家は市場暴落のずっと前にポートフォリオを分散させていた。","睿智的","睿智的投资者在市场崩溃之前很久就多元化了她的投资组合。"
"salient","The report highlights the most salient issues affecting quarterly performance.","두드러진","보고서는 분기 실적에 영향을 미치는 가장 두드러진 문제를 강조한다.","顕著な","報告書は四半期業績に影響する最も顕著な問題を強調している。","突出的","报告突出了影响季度业绩的最突出问题。"
"sanction","The government imposed economic sanctions on companies violating trade agreements.","제재","정부는 무역 협정을 위반하는 기업에 경제 제재를 부과했다.","制裁","政府は貿易協定に違反する企業に経済制裁を課した。","制裁","政府对违反贸易协定的公司实施了经济制裁。"
"saturate","Aggressive advertising campaigns have begun to saturate the consumer electronics market.","포화시키다","공격적인 광고 캠페인이 소비자 전자 제품 시장을 포화시키기 시작했다.","飽和させる","積極的な広告キャンペーンが消費者電子機器市場を飽和させ始めた。","使饱和","激进的广告活动已开始使消费电子市场饱和。"
"scant","The project received scant attention from upper management until the deadline approached.","부족한","프로젝트는 마감이 다가올 때까지 고위 경영진으로부터 부족한 관심을 받았다.","乏しい","プロジェクトは締め切りが近づくまで上層部から乏しい注目しか受けなかった。","不足的","该项目在截止日期临近之前几乎没有得到高层管理人员的关注。"
"scrutinize","Regulators will scrutinize the financial statements for any signs of irregularities.","면밀히 조사하다","규제 기관은 재무제표에서 불규칙성의 징후를 면밀히 조사할 것이다.","精査する","規制当局は財務諸表に不正の兆候がないか精査する。","仔细审查","监管机构将仔细审查财务报表是否有任何违规迹象。"
"secede","The regional division threatened to secede from the parent organization.","탈퇴하다","지역 부서가 모조직에서 탈퇴하겠다고 위협했다.","脱退する","地域部門は親組織から脱退すると脅した。","脱离","区域部门威胁要脱离母组织。"
"sedentary","Ergonomic furniture was introduced to mitigate the effects of sedentary office work.","앉아서 하는","인체공학적 가구가 앉아서 하는 사무실 업무의 영향을 완화하기 위해 도입되었다.","座りがちな","エルゴノミック家具が座りがちなオフィスワークの影響を軽減するために導入された。","久坐的","引入了人体工学家具以减轻久坐办公工作的影响。"
"sentinel","Advanced cybersecurity software acts as a sentinel guarding corporate data networks.","보초","고급 사이버 보안 소프트웨어가 기업 데이터 네트워크를 지키는 보초 역할을 한다.","番兵","高度なサイバーセキュリティソフトウェアが企業データネットワークを守る番兵として機能する。","哨兵","先进的网络安全软件充当守护企业数据网络的哨兵。"
"sequester","The jury was sequestered to prevent exposure to media coverage of the trial.","격리하다","배심원단은 재판 관련 미디어 보도에 노출되지 않도록 격리되었다.","隔離する","陪審員は裁判の報道への露出を防ぐために隔離された。","隔离","陪审团被隔离以防止接触审判的媒体报道。"
"serendipity","The groundbreaking discovery was largely a result of scientific serendipity.","우연한 발견","획기적인 발견은 대체로 과학적 우연의 결과였다.","偶然の発見","画期的な発見は主に科学的な偶然の発見の結果だった。","意外发现","这一突破性发现在很大程度上是科学上意外发现的结果。"
"skeptical","Industry analysts remain skeptical about the viability of the new business model.","회의적인","업계 분석가들은 새 비즈니스 모델의 실행 가능성에 대해 여전히 회의적이다.","懐疑的な","業界アナリストは新しいビジネスモデルの実行可能性について依然として懐疑的だ。","怀疑的","行业分析师对新商业模式的可行性仍然持怀疑态度。"
"solicit","The company decided to solicit bids from several competing vendors.","요청하다","회사는 여러 경쟁 공급업체로부터 입찰을 요청하기로 결정했다.","募集する","会社は複数の競合ベンダーから入札を募集することを決定した。","征求","公司决定向几家竞争供应商征求投标。"
"solidarity","Employees showed solidarity by volunteering for the community outreach program.","연대","직원들은 지역사회 봉사 프로그램에 자원봉사하여 연대를 보였다.","連帯","従業員は地域奉仕プログラムへのボランティアで連帯を示した。","团结","员工通过参加社区外展项目志愿活动表现出了团结。"
"solvent","Despite recent challenges, the company remains financially solvent and stable.","지불 능력이 있는","최근의 도전에도 불구하고 회사는 재정적으로 지불 능력이 있고 안정적이다.","支払い能力のある","最近の課題にもかかわらず会社は財務的に支払い能力があり安定している。","有偿付能力的","尽管最近面临挑战，该公司仍然具有财务偿付能力且稳定。"
"sophisticated","The company deployed sophisticated analytics tools to predict consumer behavior.","정교한","회사는 소비자 행동을 예측하기 위해 정교한 분석 도구를 배치했다.","洗練された","会社は消費者行動を予測するために洗練された分析ツールを導入した。","复杂精密的","公司部署了复杂精密的分析工具来预测消费者行为。"
"sparse","The initial market research yielded only sparse data for meaningful analysis.","희박한","초기 시장 조사는 의미 있는 분석을 위한 희박한 데이터만 산출했다.","まばらな","初期の市場調査は意味のある分析のためのまばらなデータしか得られなかった。","稀疏的","初步市场调研只获得了稀疏的数据，不足以进行有意义的分析。"
"speculate","Analysts speculate that the central bank will raise interest rates next month.","추측하다","분석가들은 중앙은행이 다음 달 금리를 인상할 것으로 추측한다.","推測する","アナリストは中央銀行が来月利上げすると推測している。","推测","分析师推测央行将在下个月加息。"
"sporadic","The region experienced sporadic power outages during the severe weather event.","산발적인","지역은 심한 기상 현상 동안 산발적인 정전을 경험했다.","散発的な","この地域は悪天候時に散発的な停電を経験した。","零星的","该地区在恶劣天气期间经历了零星的停电。"
"spurious","The regulator rejected the company's spurious claims about product safety.","허위의","규제 기관은 제품 안전에 대한 회사의 허위 주장을 거부했다.","偽りの","規制当局は製品安全に関する会社の偽りの主張を却下した。","虚假的","监管机构驳回了公司关于产品安全的虚假声明。"
"stagnant","The stagnant economy has led to reduced consumer spending across all sectors.","정체된","정체된 경제가 모든 부문에서 소비자 지출 감소로 이어졌다.","停滞した","停滞した経済が全セクターにわたって消費者支出の減少につながった。","停滞的","停滞的经济导致了所有行业消费者支出的减少。"
"statutory","All businesses must comply with statutory requirements for workplace safety.","법정의","모든 사업체는 직장 안전에 대한 법정 요구 사항을 준수해야 한다.","法定の","全ての事業者は職場安全に関する法定要件を遵守しなければならない。","法定的","所有企业必须遵守工作场所安全的法定要求。"
"steadfast","The company remained steadfast in its commitment to ethical business practices.","확고한","회사는 윤리적 비즈니스 관행에 대한 확고한 헌신을 유지했다.","不動の","会社は倫理的なビジネス慣行へのコミットメントに不動だった。","坚定不移的","公司对道德商业实践的承诺坚定不移。"
"stipulate","The agreement stipulates that all disputes must be resolved through arbitration.","규정하다","계약은 모든 분쟁이 중재를 통해 해결되어야 한다고 규정한다.","規定する","契約は全ての紛争が仲裁を通じて解決されなければならないと規定している。","规定","协议规定所有争端必须通过仲裁解决。"
"stratagem","The marketing stratagem successfully differentiated the brand from its competitors.","전략","마케팅 전략이 경쟁사와 브랜드를 성공적으로 차별화했다.","策略","マーケティング策略がブランドを競合他社と成功裏に差別化した。","策略","营销策略成功地使品牌与竞争对手区分开来。"
"stringent","The pharmaceutical company must adhere to stringent quality control standards.","엄격한","제약 회사는 엄격한 품질 관리 기준을 준수해야 한다.","厳格な","製薬会社は厳格な品質管理基準を遵守しなければならない。","严格的","制药公司必须遵守严格的质量控制标准。"
"subordinate","The manager delegated routine tasks to subordinate members of the team.","부하의","관리자는 일상적인 업무를 팀의 부하 구성원에게 위임했다.","部下の","マネージャーは日常業務をチームの部下メンバーに委任した。","下属的","经理将日常任务委派给团队的下属成员。"
"substantiate","The claimant must provide evidence to substantiate the warranty claim.","입증하다","청구인은 보증 청구를 입증하기 위한 증거를 제공해야 한다.","立証する","請求者は保証請求を立証するための証拠を提出しなければならない。","证实","索赔人必须提供证据来证实保修索赔。"
"succinct","The executive summary should be succinct and limited to two pages maximum.","간결한","경영 요약서는 간결하고 최대 두 페이지로 제한되어야 한다.","簡潔な","エグゼクティブサマリーは簡潔で最大2ページに制限すべきだ。","简洁的","执行摘要应简洁明了，最多限于两页。"
"superfluous","The auditors flagged several superfluous expenses in the marketing budget.","불필요한","감사관들은 마케팅 예산에서 여러 불필요한 비용을 지적했다.","余分な","監査人はマーケティング予算の中の余分な出費を指摘した。","多余的","审计人员指出了营销预算中几项多余的开支。"
"supplant","Digital streaming services have almost entirely supplanted traditional DVD rentals.","대체하다","디지털 스트리밍 서비스가 전통적인 DVD 대여를 거의 완전히 대체했다.","取って代わる","デジタルストリーミングサービスが従来のDVDレンタルにほぼ完全に取って代わった。","取代","数字流媒体服务几乎完全取代了传统的DVD租赁。"
"supplement","The company decided to supplement its workforce with temporary contractors.","보충하다","회사는 임시 계약자로 인력을 보충하기로 결정했다.","補完する","会社は臨時請負業者で労働力を補完することを決定した。","补充","公司决定用临时承包商来补充其劳动力。"
"suppress","The management attempted to suppress the internal audit findings from the public.","억압하다","경영진은 내부 감사 결과를 대중으로부터 억압하려 시도했다.","隠蔽する","経営陣は内部監査の結果を公表から隠蔽しようとした。","压制","管理层试图压制内部审计结果不让公众知晓。"
"surmount","The team demonstrated resilience by surmounting numerous technical challenges.","극복하다","팀은 수많은 기술적 과제를 극복함으로써 회복력을 보여주었다.","克服する","チームは数多くの技術的課題を克服することで回復力を示した。","克服","团队通过克服众多技术挑战展示了韧性。"
"surpass","The company's annual revenue managed to surpass industry projections by fifteen percent.","능가하다","회사의 연간 수익이 업계 예측을 15% 능가했다.","上回る","会社の年間収益は業界予測を15%上回ることができた。","超越","公司的年收入成功超越了行业预测百分之十五。"
"susceptible","Young startups are particularly susceptible to cash flow disruptions.","취약한","젊은 스타트업은 특히 현금 흐름 중단에 취약하다.","影響を受けやすい","若いスタートアップは特にキャッシュフローの混乱の影響を受けやすい。","易受影响的","年轻的初创公司特别容易受到现金流中断的影响。"
"sustain","The company struggled to sustain profitability during the extended market downturn.","유지하다","회사는 장기 시장 침체 동안 수익성을 유지하는 데 어려움을 겪었다.","維持する","会社は長期的な市場低迷の中で収益性を維持するのに苦労した。","维持","公司在长期市场低迷期间难以维持盈利能力。"
"symbiotic","The partnership created a symbiotic relationship benefiting both organizations.","공생의","파트너십은 양 조직 모두에게 이익이 되는 공생 관계를 만들었다.","共生の","パートナーシップは両組織に利益をもたらす共生関係を生み出した。","共生的","合作关系创造了对两个组织都有利的共生关系。"
"synopsis","The executive requested a brief synopsis of the research findings.","개요","경영진은 연구 결과의 간략한 개요를 요청했다.","概要","幹部は研究結果の簡潔な概要を求めた。","概要","高管要求对研究结果进行简要概述。"
"synthesis","The report represents a synthesis of data from multiple independent sources.","종합","보고서는 여러 독립적인 출처의 데이터 종합을 나타낸다.","統合","報告書は複数の独立した情報源からのデータの統合を表している。","综合","该报告代表了来自多个独立来源的数据综合。"
"tacit","There was a tacit agreement among the partners to avoid hostile competition.","암묵적인","파트너들 사이에 적대적인 경쟁을 피하자는 암묵적인 합의가 있었다.","暗黙の","パートナー間で敵対的な競争を避けるという暗黙の合意があった。","默契的","合作伙伴之间有一种默契，即避免敌对竞争。"
"tangible","The new strategy produced tangible results within the first two quarters.","구체적인","새 전략은 처음 두 분기 내에 구체적인 결과를 낳았다.","具体的な","新しい戦略は最初の2四半期以内に具体的な成果を生み出した。","有形的","新战略在前两个季度内产生了有形的成果。"
"tantamount","Ignoring the safety regulations is tantamount to putting employees at risk.","~에 해당하는","안전 규정을 무시하는 것은 직원을 위험에 빠뜨리는 것에 해당한다.","~に等しい","安全規制を無視することは従業員を危険にさらすことに等しい。","等同于","忽视安全法规等同于将员工置于危险之中。"
"tedious","The tedious process of manual data entry was eliminated through automation.","지루한","수동 데이터 입력의 지루한 과정이 자동화를 통해 제거되었다.","退屈な","手動データ入力の退屈なプロセスが自動化により排除された。","乏味的","通过自动化消除了手动数据输入的乏味过程。"
"tenacious","The tenacious sales team exceeded their quarterly targets for the fifth time.","끈질긴","끈질긴 영업 팀이 다섯 번째로 분기 목표를 초과 달성했다.","粘り強い","粘り強い営業チームが5度目の四半期目標超過を達成した。","坚韧的","坚韧的销售团队第五次超额完成了季度目标。"
"tentative","The committee has reached a tentative agreement pending further legal review.","잠정적인","위원회는 추가 법적 검토를 기다리는 잠정적인 합의에 도달했다.","暫定的な","委員会はさらなる法的レビューを待つ暫定的な合意に達した。","暂定的","委员会已达成暂定协议，等待进一步法律审查。"
"tenure","During her tenure as CFO, the company doubled its market capitalization.","재직 기간","그녀의 CFO 재직 기간 동안 회사의 시가총액이 두 배로 늘었다.","在職期間","彼女のCFO在職期間中に会社の時価総額は倍増した。","任期","在她担任CFO期间，公司的市值翻了一番。"
"terse","The CEO issued a terse statement declining to comment on the investigation.","간결한","CEO는 조사에 대한 논평을 거부하는 간결한 성명을 발표했다.","簡潔な","CEOは調査へのコメントを拒否する簡潔な声明を発表した。","简短的","CEO发表了一份简短的声明，拒绝对调查发表评论。"
"threshold","The company has set a minimum revenue threshold for entering new markets.","임계값","회사는 신규 시장 진입을 위한 최소 수익 임계값을 설정했다.","閾値","会社は新市場参入のための最低収益閾値を設定した。","门槛","公司设定了进入新市场的最低收入门槛。"
"thwart","Intense competition from online retailers continues to thwart expansion plans.","좌절시키다","온라인 소매업체의 치열한 경쟁이 확장 계획을 계속 좌절시키고 있다.","妨害する","オンライン小売業者からの激しい競争が拡大計画を妨害し続けている。","挫败","来自在线零售商的激烈竞争继续挫败扩张计划。"
"trajectory","The company's growth trajectory suggests it will reach profitability next year.","궤적","회사의 성장 궤적은 내년에 수익성에 도달할 것을 시사한다.","軌道","会社の成長軌道は来年収益性に達することを示唆している。","轨迹","公司的增长轨迹表明它将在明年实现盈利。"
"transcend","The brand's appeal managed to transcend cultural and geographical boundaries.","초월하다","브랜드의 매력은 문화적, 지리적 경계를 초월했다.","超越する","ブランドの魅力は文化的・地理的な境界を超越することに成功した。","超越","该品牌的吸引力成功超越了文化和地理界限。"
"transient","The spike in demand proved to be transient and returned to normal levels.","일시적인","수요 급증은 일시적인 것으로 판명되어 정상 수준으로 돌아갔다.","一時的な","需要の急増は一時的なものであることが判明し通常レベルに戻った。","暂时的","需求激增被证明是暂时的，并恢复到了正常水平。"
"transparent","The company's transparent reporting practices earned investor confidence and trust.","투명한","회사의 투명한 보고 관행이 투자자의 신뢰를 얻었다.","透明な","会社の透明な報告慣行が投資家の信頼を獲得した。","透明的","公司透明的报告做法赢得了投资者的信心和信任。"
"traverse","The sales team had to traverse complex regulatory landscapes in each country.","횡단하다","영업 팀은 각 국가의 복잡한 규제 환경을 횡단해야 했다.","横断する","営業チームは各国の複雑な規制環境を横断しなければならなかった。","穿越","销售团队必须穿越每个国家复杂的监管环境。"
"trepidation","The workforce viewed the upcoming layoffs with considerable trepidation.","두려움","직원들은 다가오는 해고를 상당한 두려움으로 바라보았다.","不安","労働者は今後のリストラをかなりの不安を持って見ていた。","恐惧","员工们以相当大的恐惧看待即将到来的裁员。"
"trivial","What appeared to be a trivial software bug caused a major system failure.","사소한","사소해 보이는 소프트웨어 버그가 주요 시스템 장애를 일으켰다.","些細な","些細に見えたソフトウェアのバグが重大なシステム障害を引き起こした。","微不足道的","看似微不足道的软件缺陷导致了重大系统故障。"
